Hour,Mean PM2.5,Std PM2.5
0,4.135,1.9411961023277142
1,4.124285714285714,1.8637543346107124
2,4.110714285714286,1.7883402889302105
3,4.097857142857142,1.7286819281727936
4,4.085714285714286,1.6851236625962376
5,4.078571428571428,1.6388075267981015
6,4.067857142857143,1.587214195091167
7,4.060714285714286,1.557263202326017
8,4.055714285714286,1.5234309167933273
9,4.049285714285714,1.5025386941681491
10,4.042142857142857,1.4726072042544058
11,4.032857142857143,1.4507792525261862
12,4.018571428571429,1.4249202792429485
13,4.001428571428571,1.4123131987730522
14,3.9885714285714284,1.4158653626933333
15,3.9771428571428573,1.4218645860625763
16,3.948571428571429,1.4048917677603774
17,3.9164285714285714,1.5753417560490321
18,3.875,1.5942818494182938
19,3.8478571428571433,1.5467592849937206
20,3.8164285714285713,1.5121131782165855
21,3.7950000000000004,1.4787091564032357
22,3.7864285714285715,1.45390512410202
23,3.7800000000000002,1.4226302833403075
