nodeId,Source Id,Source Type,Output Frequency,Start of Period,End of Period,Location Latitude [deg],Location Longitude [deg],"Atmospheric pressure, 1-hour mean raw","Atmospheric pressure, 1-hour mean status","Atmospheric pressure, 1-hour mean value","NO2 concentration, 1-hour mean raw","NO2 concentration, 1-hour mean status","NO2 concentration, 1-hour mean value","NO2 concentration, 1-hour mean, UsEpaAqi raw","NO2 concentration, 1-hour mean, UsEpaAqi status","NO2 concentration, 1-hour mean, UsEpaAqi value","NO2 concentration, 1-hour mean, WaDwerAqi raw","NO2 concentration, 1-hour mean, WaDwerAqi status","NO2 concentration, 1-hour mean, WaDwerAqi value","Ozone, 1-hour mean raw","Ozone, 1-hour mean status","Ozone, 1-hour mean value","Ozone, 1-hour mean, WaDwerAqi raw","Ozone, 1-hour mean, WaDwerAqi status","Ozone, 1-hour mean, WaDwerAqi value","PM 10 mass concentration, 1-hour mean raw","PM 10 mass concentration, 1-hour mean status","PM 10 mass concentration, 1-hour mean value","PM 10 mass concentration, 1-hour mean, WaDwerAqi raw","PM 10 mass concentration, 1-hour mean, WaDwerAqi status","PM 10 mass concentration, 1-hour mean, WaDwerAqi value","PM 10 mass concentration, 24-hour rolling mean raw","PM 10 mass concentration, 24-hour rolling mean status","PM 10 mass concentration, 24-hour rolling mean value","PM 10 number concentration, 1-hour mean raw","PM 10 number concentration, 1-hour mean status","PM 10 number concentration, 1-hour mean value","PM 10 number concentration, 24-hour rolling mean raw","PM 10 number concentration, 24-hour rolling mean status","PM 10 number concentration, 24-hour rolling mean value","PM 1 mass concentration, 1-hour mean raw","PM 1 mass concentration, 1-hour mean status","PM 1 mass concentration, 1-hour mean value","PM 1 number concentration, 1-hour mean raw","PM 1 number concentration, 1-hour mean status","PM 1 number concentration, 1-hour mean value","PM 2.5 mass concentration, 1-hour mean raw","PM 2.5 mass concentration, 1-hour mean status","PM 2.5 mass concentration, 1-hour mean value","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi raw","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi status","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi value","PM 2.5 mass concentration, 24-hour rolling mean raw","PM 2.5 mass concentration, 24-hour rolling mean status","PM 2.5 mass concentration, 24-hour rolling mean value","PM 2.5 mass concentration, Nowcast raw","PM 2.5 mass concentration, Nowcast status","PM 2.5 mass concentration, Nowcast value","PM 2.5 mass concentration, Nowcast, UsEpaAqi raw","PM 2.5 mass concentration, Nowcast, UsEpaAqi status","PM 2.5 mass concentration, Nowcast, UsEpaAqi value","PM 2.5 number concentration, 1-hour mean raw","PM 2.5 number concentration, 1-hour mean status","PM 2.5 number concentration, 1-hour mean value","PM 2.5 number concentration, 24-hour rolling mean raw","PM 2.5 number concentration, 24-hour rolling mean status","PM 2.5 number concentration, 24-hour rolling mean value","Relative humidity ambient, 1-hour mean raw","Relative humidity ambient, 1-hour mean status","Relative humidity ambient, 1-hour mean value","Relative humidity internal, 1-hour mean raw","Relative humidity internal, 1-hour mean status","Relative humidity internal, 1-hour mean value","Temperature ambient, 1-hour mean raw","Temperature ambient, 1-hour mean status","Temperature ambient, 1-hour mean value","Temperature internal, 1-hour mean raw","Temperature internal, 1-hour mean status","Temperature internal, 1-hour mean value","Wind direction, 1-hour mean raw","Wind direction, 1-hour mean status","Wind direction, 1-hour mean value","Wind speed, 1-hour mean raw","Wind speed, 1-hour mean status","Wind speed, 1-hour mean value"
A3TM3GGL,A3TM3GGL,CLARITY_NODE,hour,2023-11-01T01:00:00.000Z,2023-11-01T02:00:00.000Z,37.72384605,-121.43876363,,,,,,,,,,,,,,,,,,,17.86,calibration-unknown,,18,calibration-unknown,,32.60,calibration-unknown,,15.55,sensor-ready,15.55,22.37,sensor-ready,22.37,8.35,calibration-unknown,,14.69,sensor-ready,14.69,13.56,calibrated-ready,8.68,14,calibrated-ready,9,26.69,calibrated-ready,9.78,13.69,calibrated-ready,8.99,54,calibrated-ready,37,15.42,sensor-ready,15.42,22.18,sensor-ready,22.18,,,,39.02,sensor-ready,39.02,,,,20.17,sensor-ready,20.17,,,,,,
A3TM3GGL,A3TM3GGL,CLARITY_NODE,hour,2023-11-01T02:00:00.000Z,2023-11-01T03:00:00.000Z,37.72384605,-121.43876363,,,,,,,,,,,,,,,,,,,22.65,calibration-unknown,,23,calibration-unknown,,32.44,calibration-unknown,,19.31,sensor-ready,19.31,22.25,sensor-ready,22.25,11.41,calibration-unknown,,18.29,sensor-ready,18.29,18.61,calibrated-ready,8.95,19,calibrated-ready,9,26.53,calibrated-ready,9.75,16.15,calibrated-ready,8.98,60,calibrated-ready,37,19.20,sensor-ready,19.20,22.06,sensor-ready,22.06,,,,44.03,sensor-ready,44.03,,,,17.12,sensor-ready,17.12,,,,,,
A3TM3GGL,A3TM3GGL,CLARITY_NODE,hour,2023-11-01T03:00:00.000Z,2023-11-01T04:00:00.000Z,37.72384605,-121.43876363,,,,,,,,,,,,,,,,,,,27.82,calibration-unknown,,28,calibration-unknown,,32.39,calibration-unknown,,23.16,sensor-ready,23.16,22.28,sensor-ready,22.28,14.72,calibration-unknown,,22.01,sensor-ready,22.01,23.19,calibrated-ready,9.51,23,calibrated-ready,10,26.49,calibrated-ready,9.74,19.67,calibrated-ready,9.19,67,calibrated-ready,38,23.03,sensor-ready,23.03,22.09,sensor-ready,22.09,,,,49.18,sensor-ready,49.18,,,,14.81,sensor-ready,14.81,,,,,,
A3TM3GGL,A3TM3GGL,CLARITY_NODE,hour,2023-11-01T04:00:00.000Z,2023-11-01T05:00:00.000Z,37.72384605,-121.43876363,,,,,,,,,,,,,,,,,,,42.58,calibration-unknown,,43,calibration-unknown,,32.63,calibration-unknown,,29.36,sensor-ready,29.36,22.42,sensor-ready,22.42,19.78,calibration-unknown,,27.68,sensor-ready,27.68,33.53,calibrated-ready,12.27,34,calibrated-ready,12,26.64,calibrated-ready,9.80,26.60,calibrated-ready,10.41,81,calibrated-ready,43,29.13,sensor-ready,29.13,22.23,sensor-ready,22.23,,,,52.41,sensor-ready,52.41,,,,13.36,sensor-ready,13.36,,,,,,
A3TM3GGL,A3TM3GGL,CLARITY_NODE,hour,2023-11-01T05:00:00.000Z,2023-11-01T06:00:00.000Z,37.72384605,-121.43876363,,,,,,,,,,,,,,,,,,,33.24,calibration-unknown,,33,calibration-unknown,,32.60,calibration-unknown,,22.46,sensor-ready,22.46,22.36,sensor-ready,22.36,15.25,calibration-unknown,,21.17,sensor-ready,21.17,26.20,calibrated-ready,9.62,26,calibrated-ready,10,26.53,calibrated-ready,9.82,26.40,calibrated-ready,10.10,81,calibrated-ready,42,22.27,sensor-ready,22.27,22.17,sensor-ready,22.17,,,,55.91,sensor-ready,55.91,,,,12.19,sensor-ready,12.19,,,,,,
A3TM3GGL,A3TM3GGL,CLARITY_NODE,hour,2023-11-01T06:00:00.000Z,2023-11-01T07:00:00.000Z,37.72384605,-121.43876363,,,,,,,,,,,,,,,,,,,33.95,calibration-unknown,,34,calibration-unknown,,32.81,calibration-unknown,,22.50,sensor-ready,22.50,22.48,sensor-ready,22.48,15.90,calibration-unknown,,21.13,sensor-ready,21.13,27.08,calibrated-ready,9.24,27,calibrated-ready,9,26.63,calibrated-ready,9.86,26.74,calibrated-ready,9.75,82,calibrated-ready,41,22.32,sensor-ready,22.32,22.29,sensor-ready,22.29,,,,57.09,sensor-ready,57.09,,,,11.28,sensor-ready,11.28,,,,,,
A3TM3GGL,A3TM3GGL,CLARITY_NODE,hour,2023-11-01T07:00:00.000Z,2023-11-01T08:00:00.000Z,37.72384605,-121.43876363,,,,,,,,,,,,,,,,,,,29.45,calibration-unknown,,29,calibration-unknown,,32.64,calibration-unknown,,19.62,sensor-ready,19.62,22.39,sensor-ready,22.39,13.65,calibration-unknown,,18.48,sensor-ready,18.48,23.44,calibrated-ready,8.32,23,calibrated-ready,8,26.45,calibrated-ready,9.84,25.09,calibrated-ready,9.25,78,calibrated-ready,39,19.47,sensor-ready,19.47,22.21,sensor-ready,22.21,,,,56.71,sensor-ready,56.71,,,,10.77,sensor-ready,10.77,,,,,,
A3TM3GGL,A3TM3GGL,CLARITY_NODE,hour,2023-11-01T08:00:00.000Z,2023-11-01T09:00:00.000Z,37.72384605,-121.43876363,,,,,,,,,,,,,,,,,,,28.48,calibration-unknown,,28,calibration-unknown,,32.32,calibration-unknown,,18.76,sensor-ready,18.76,22.24,sensor-ready,22.24,13.46,calibration-unknown,,17.65,sensor-ready,17.65,23.67,calibrated-ready,7.51,24,calibrated-ready,8,26.18,calibrated-ready,9.78,24.38,calibrated-ready,8.54,77,calibrated-ready,36,18.61,sensor-ready,18.61,22.06,sensor-ready,22.06,,,,58.81,sensor-ready,58.81,,,,10.18,sensor-ready,10.18,,,,,,
A3TM3GGL,A3TM3GGL,CLARITY_NODE,hour,2023-11-01T09:00:00.000Z,2023-11-01T10:00:00.000Z,37.72384605,-121.43876363,,,,,,,,,,,,,,,,,,,32.12,calibration-unknown,,32,calibration-unknown,,32.16,calibration-unknown,,20.03,sensor-ready,20.03,22.18,sensor-ready,22.18,14.52,calibration-unknown,,18.81,sensor-ready,18.81,25.72,calibrated-ready,8.23,26,calibrated-ready,8,26.06,calibrated-ready,9.75,25.05,calibrated-ready,8.41,78,calibrated-ready,35,19.85,sensor-ready,19.85,22.00,sensor-ready,22.00,,,,61.13,sensor-ready,61.13,,,,9.40,sensor-ready,9.40,,,,,,
A3TM3GGL,A3TM3GGL,CLARITY_NODE,hour,2023-11-01T10:00:00.000Z,2023-11-01T11:00:00.000Z,37.72384605,-121.43876363,,,,,,,,,,,,,,,,,,,30.59,calibration-unknown,,31,calibration-unknown,,32.01,calibration-unknown,,19.18,sensor-ready,19.18,22.10,sensor-ready,22.10,14.20,calibration-unknown,,18.02,sensor-ready,18.02,24.66,calibrated-ready,7.57,25,calibrated-ready,8,25.89,calibrated-ready,9.74,24.86,calibrated-ready,8.08,78,calibrated-ready,34,19.02,sensor-ready,19.02,21.91,sensor-ready,21.91,,,,63.50,sensor-ready,63.50,,,,8.66,sensor-ready,8.66,,,,,,
