nodeId,Source Id,Source Type,Output Frequency,Start of Period,End of Period,Location Latitude [deg],Location Longitude [deg],"Atmospheric pressure, 1-hour mean raw","Atmospheric pressure, 1-hour mean status","Atmospheric pressure, 1-hour mean value","NO2 concentration, 1-hour mean raw","NO2 concentration, 1-hour mean status","NO2 concentration, 1-hour mean value","NO2 concentration, 1-hour mean, UsEpaAqi raw","NO2 concentration, 1-hour mean, UsEpaAqi status","NO2 concentration, 1-hour mean, UsEpaAqi value","NO2 concentration, 1-hour mean, WaDwerAqi raw","NO2 concentration, 1-hour mean, WaDwerAqi status","NO2 concentration, 1-hour mean, WaDwerAqi value","Ozone, 1-hour mean raw","Ozone, 1-hour mean status","Ozone, 1-hour mean value","Ozone, 1-hour mean, WaDwerAqi raw","Ozone, 1-hour mean, WaDwerAqi status","Ozone, 1-hour mean, WaDwerAqi value","PM 10 mass concentration, 1-hour mean raw","PM 10 mass concentration, 1-hour mean status","PM 10 mass concentration, 1-hour mean value","PM 10 mass concentration, 1-hour mean, WaDwerAqi raw","PM 10 mass concentration, 1-hour mean, WaDwerAqi status","PM 10 mass concentration, 1-hour mean, WaDwerAqi value","PM 10 mass concentration, 24-hour rolling mean raw","PM 10 mass concentration, 24-hour rolling mean status","PM 10 mass concentration, 24-hour rolling mean value","PM 10 number concentration, 1-hour mean raw","PM 10 number concentration, 1-hour mean status","PM 10 number concentration, 1-hour mean value","PM 10 number concentration, 24-hour rolling mean raw","PM 10 number concentration, 24-hour rolling mean status","PM 10 number concentration, 24-hour rolling mean value","PM 1 mass concentration, 1-hour mean raw","PM 1 mass concentration, 1-hour mean status","PM 1 mass concentration, 1-hour mean value","PM 1 number concentration, 1-hour mean raw","PM 1 number concentration, 1-hour mean status","PM 1 number concentration, 1-hour mean value","PM 2.5 mass concentration, 1-hour mean raw","PM 2.5 mass concentration, 1-hour mean status","PM 2.5 mass concentration, 1-hour mean value","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi raw","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi status","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi value","PM 2.5 mass concentration, 24-hour rolling mean raw","PM 2.5 mass concentration, 24-hour rolling mean status","PM 2.5 mass concentration, 24-hour rolling mean value","PM 2.5 mass concentration, Nowcast raw","PM 2.5 mass concentration, Nowcast status","PM 2.5 mass concentration, Nowcast value","PM 2.5 mass concentration, Nowcast, UsEpaAqi raw","PM 2.5 mass concentration, Nowcast, UsEpaAqi status","PM 2.5 mass concentration, Nowcast, UsEpaAqi value","PM 2.5 number concentration, 1-hour mean raw","PM 2.5 number concentration, 1-hour mean status","PM 2.5 number concentration, 1-hour mean value","PM 2.5 number concentration, 24-hour rolling mean raw","PM 2.5 number concentration, 24-hour rolling mean status","PM 2.5 number concentration, 24-hour rolling mean value","Relative humidity ambient, 1-hour mean raw","Relative humidity ambient, 1-hour mean status","Relative humidity ambient, 1-hour mean value","Relative humidity internal, 1-hour mean raw","Relative humidity internal, 1-hour mean status","Relative humidity internal, 1-hour mean value","Temperature ambient, 1-hour mean raw","Temperature ambient, 1-hour mean status","Temperature ambient, 1-hour mean value","Temperature internal, 1-hour mean raw","Temperature internal, 1-hour mean status","Temperature internal, 1-hour mean value","Wind direction, 1-hour mean raw","Wind direction, 1-hour mean status","Wind direction, 1-hour mean value","Wind speed, 1-hour mean raw","Wind speed, 1-hour mean status","Wind speed, 1-hour mean value"
AN6XPXFJ,AN6XPXFJ,CLARITY_NODE,hour,2023-11-07T22:00:00.000Z,2023-11-07T23:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,2.35,calibration-unknown,,2,calibration-unknown,,2.35,calibration-unknown,,2.22,sensor-ready,2.22,2.22,sensor-ready,2.22,0.19,calibration-unknown,,2.10,sensor-ready,2.10,0.81,calibrated-ready,3.94,1,calibrated-ready,4,0.81,calibrated-ready,3.94,,,,,,,2.18,sensor-ready,2.18,2.18,sensor-ready,2.18,,,,40.50,sensor-ready,40.50,,,,22.62,sensor-ready,22.62,,,,,,
AN6XPXFJ,AN6XPXFJ,CLARITY_NODE,hour,2023-11-07T23:00:00.000Z,2023-11-08T00:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,1.98,calibration-unknown,,2,calibration-unknown,,2.16,calibration-unknown,,2.27,sensor-ready,2.27,2.25,sensor-ready,2.25,0.14,calibration-unknown,,2.15,sensor-ready,2.15,0.59,calibrated-ready,4.12,1,calibrated-ready,4,0.70,calibrated-ready,4.03,0.68,calibrated-ready,4.03,3,calibrated-ready,17,2.23,sensor-ready,2.23,2.20,sensor-ready,2.20,,,,37.01,sensor-ready,37.01,,,,25.71,sensor-ready,25.71,,,,,,
AN6XPXFJ,AN6XPXFJ,CLARITY_NODE,hour,2023-11-08T00:00:00.000Z,2023-11-08T01:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,2.77,calibration-unknown,,3,calibration-unknown,,2.37,calibration-unknown,,2.76,sensor-ready,2.76,2.42,sensor-ready,2.42,0.77,calibration-unknown,,2.61,sensor-ready,2.61,1.36,calibrated-ready,3.88,1,calibrated-ready,4,0.92,calibrated-ready,3.98,1.06,calibrated-ready,3.97,4,calibrated-ready,17,2.72,sensor-ready,2.72,2.37,sensor-ready,2.37,,,,41.62,sensor-ready,41.62,,,,23.76,sensor-ready,23.76,,,,,,
AN6XPXFJ,AN6XPXFJ,CLARITY_NODE,hour,2023-11-08T01:00:00.000Z,2023-11-08T02:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,5.63,calibration-unknown,,6,calibration-unknown,,3.18,calibration-unknown,,6.55,sensor-ready,6.55,3.45,sensor-ready,3.45,2.78,calibration-unknown,,6.27,sensor-ready,6.27,3.99,calibrated-ready,5.01,4,calibrated-ready,5,1.69,calibrated-ready,4.23,2.62,calibrated-ready,4.34,11,calibrated-ready,18,6.50,sensor-ready,6.50,3.41,sensor-ready,3.41,,,,42.35,sensor-ready,42.35,,,,22.97,sensor-ready,22.97,,,,,,
AN6XPXFJ,AN6XPXFJ,CLARITY_NODE,hour,2023-11-08T02:00:00.000Z,2023-11-08T03:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,3.65,calibration-unknown,,4,calibration-unknown,,3.28,calibration-unknown,,4.04,sensor-ready,4.04,3.57,sensor-ready,3.57,1.24,calibration-unknown,,3.88,sensor-ready,3.88,1.99,calibrated-ready,4.32,2,calibrated-ready,4,1.75,calibrated-ready,4.25,2.29,calibrated-ready,4.33,10,calibrated-ready,18,4.00,sensor-ready,4.00,3.52,sensor-ready,3.52,,,,43.07,sensor-ready,43.07,,,,22.61,sensor-ready,22.61,,,,,,
AN6XPXFJ,AN6XPXFJ,CLARITY_NODE,hour,2023-11-08T03:00:00.000Z,2023-11-08T04:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,4.13,calibration-unknown,,4,calibration-unknown,,3.42,calibration-unknown,,3.75,sensor-ready,3.75,3.60,sensor-ready,3.60,1.18,calibration-unknown,,3.56,sensor-ready,3.56,1.98,calibrated-ready,4.36,2,calibrated-ready,4,1.79,calibrated-ready,4.27,2.14,calibrated-ready,4.34,9,calibrated-ready,18,3.70,sensor-ready,3.70,3.55,sensor-ready,3.55,,,,43.44,sensor-ready,43.44,,,,22.33,sensor-ready,22.33,,,,,,
AN6XPXFJ,AN6XPXFJ,CLARITY_NODE,hour,2023-11-08T04:00:00.000Z,2023-11-08T05:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,3.29,calibration-unknown,,3,calibration-unknown,,3.40,calibration-unknown,,3.06,sensor-ready,3.06,3.52,sensor-ready,3.52,0.83,calibration-unknown,,2.91,sensor-ready,2.91,1.44,calibrated-ready,4.02,1,calibrated-ready,4,1.74,calibrated-ready,4.23,1.78,calibrated-ready,4.25,7,calibrated-ready,18,3.01,sensor-ready,3.01,3.48,sensor-ready,3.48,,,,43.89,sensor-ready,43.89,,,,22.31,sensor-ready,22.31,,,,,,
AN6XPXFJ,AN6XPXFJ,CLARITY_NODE,hour,2023-11-08T05:00:00.000Z,2023-11-08T06:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,2.81,calibration-unknown,,3,calibration-unknown,,3.33,calibration-unknown,,2.79,sensor-ready,2.79,3.43,sensor-ready,3.43,0.77,calibration-unknown,,2.65,sensor-ready,2.65,1.07,calibrated-ready,3.85,1,calibrated-ready,4,1.65,calibrated-ready,4.18,1.42,calibrated-ready,4.15,6,calibrated-ready,17,2.75,sensor-ready,2.75,3.39,sensor-ready,3.39,,,,43.40,sensor-ready,43.40,,,,22.68,sensor-ready,22.68,,,,,,
AN6XPXFJ,AN6XPXFJ,CLARITY_NODE,hour,2023-11-08T06:00:00.000Z,2023-11-08T07:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,4.05,calibration-unknown,,4,calibration-unknown,,3.41,calibration-unknown,,3.43,sensor-ready,3.43,3.43,sensor-ready,3.43,0.72,calibration-unknown,,3.22,sensor-ready,3.22,1.96,calibrated-ready,4.48,2,calibrated-ready,4,1.69,calibrated-ready,4.22,1.69,calibrated-ready,4.23,7,calibrated-ready,18,3.37,sensor-ready,3.37,3.38,sensor-ready,3.38,,,,42.88,sensor-ready,42.88,,,,22.93,sensor-ready,22.93,,,,,,
AN6XPXFJ,AN6XPXFJ,CLARITY_NODE,hour,2023-11-08T07:00:00.000Z,2023-11-08T08:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,2.71,calibration-unknown,,3,calibration-unknown,,3.34,calibration-unknown,,2.91,sensor-ready,2.91,3.38,sensor-ready,3.38,0.77,calibration-unknown,,2.76,sensor-ready,2.76,1.51,calibrated-ready,3.84,2,calibrated-ready,4,1.67,calibrated-ready,4.18,1.60,calibrated-ready,4.13,7,calibrated-ready,17,2.87,sensor-ready,2.87,3.33,sensor-ready,3.33,,,,42.41,sensor-ready,42.41,,,,23.01,sensor-ready,23.01,,,,,,
