nodeId,Source Id,Source Type,Output Frequency,Start of Period,End of Period,Location Latitude [deg],Location Longitude [deg],"Atmospheric pressure, 1-hour mean raw","Atmospheric pressure, 1-hour mean status","Atmospheric pressure, 1-hour mean value","NO2 concentration, 1-hour mean raw","NO2 concentration, 1-hour mean status","NO2 concentration, 1-hour mean value","NO2 concentration, 1-hour mean, UsEpaAqi raw","NO2 concentration, 1-hour mean, UsEpaAqi status","NO2 concentration, 1-hour mean, UsEpaAqi value","NO2 concentration, 1-hour mean, WaDwerAqi raw","NO2 concentration, 1-hour mean, WaDwerAqi status","NO2 concentration, 1-hour mean, WaDwerAqi value","Ozone, 1-hour mean raw","Ozone, 1-hour mean status","Ozone, 1-hour mean value","Ozone, 1-hour mean, WaDwerAqi raw","Ozone, 1-hour mean, WaDwerAqi status","Ozone, 1-hour mean, WaDwerAqi value","PM 10 mass concentration, 1-hour mean raw","PM 10 mass concentration, 1-hour mean status","PM 10 mass concentration, 1-hour mean value","PM 10 mass concentration, 1-hour mean, WaDwerAqi raw","PM 10 mass concentration, 1-hour mean, WaDwerAqi status","PM 10 mass concentration, 1-hour mean, WaDwerAqi value","PM 10 mass concentration, 24-hour rolling mean raw","PM 10 mass concentration, 24-hour rolling mean status","PM 10 mass concentration, 24-hour rolling mean value","PM 10 number concentration, 1-hour mean raw","PM 10 number concentration, 1-hour mean status","PM 10 number concentration, 1-hour mean value","PM 10 number concentration, 24-hour rolling mean raw","PM 10 number concentration, 24-hour rolling mean status","PM 10 number concentration, 24-hour rolling mean value","PM 1 mass concentration, 1-hour mean raw","PM 1 mass concentration, 1-hour mean status","PM 1 mass concentration, 1-hour mean value","PM 1 number concentration, 1-hour mean raw","PM 1 number concentration, 1-hour mean status","PM 1 number concentration, 1-hour mean value","PM 2.5 mass concentration, 1-hour mean raw","PM 2.5 mass concentration, 1-hour mean status","PM 2.5 mass concentration, 1-hour mean value","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi raw","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi status","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi value","PM 2.5 mass concentration, 24-hour rolling mean raw","PM 2.5 mass concentration, 24-hour rolling mean status","PM 2.5 mass concentration, 24-hour rolling mean value","PM 2.5 mass concentration, Nowcast raw","PM 2.5 mass concentration, Nowcast status","PM 2.5 mass concentration, Nowcast value","PM 2.5 mass concentration, Nowcast, UsEpaAqi raw","PM 2.5 mass concentration, Nowcast, UsEpaAqi status","PM 2.5 mass concentration, Nowcast, UsEpaAqi value","PM 2.5 number concentration, 1-hour mean raw","PM 2.5 number concentration, 1-hour mean status","PM 2.5 number concentration, 1-hour mean value","PM 2.5 number concentration, 24-hour rolling mean raw","PM 2.5 number concentration, 24-hour rolling mean status","PM 2.5 number concentration, 24-hour rolling mean value","Relative humidity ambient, 1-hour mean raw","Relative humidity ambient, 1-hour mean status","Relative humidity ambient, 1-hour mean value","Relative humidity internal, 1-hour mean raw","Relative humidity internal, 1-hour mean status","Relative humidity internal, 1-hour mean value","Temperature ambient, 1-hour mean raw","Temperature ambient, 1-hour mean status","Temperature ambient, 1-hour mean value","Temperature internal, 1-hour mean raw","Temperature internal, 1-hour mean status","Temperature internal, 1-hour mean value","Wind direction, 1-hour mean raw","Wind direction, 1-hour mean status","Wind direction, 1-hour mean value","Wind speed, 1-hour mean raw","Wind speed, 1-hour mean status","Wind speed, 1-hour mean value"
AWGTPC6X,AWGTPC6X,CLARITY_NODE,hour,2024-01-18T19:00:00.000Z,2024-01-18T20:00:00.000Z,37.86850000,-122.50910000,,,,,,,,,,,,,,,,,,,3.92,calibration-missing,,4,calibration-missing,,3.92,calibration-missing,,5.21,sensor-ready,5.21,5.21,sensor-ready,5.21,1.13,calibration-missing,,4.92,sensor-ready,4.92,3.32,calibrated-ready,4.82,3,calibrated-ready,5,3.32,calibrated-ready,4.82,,,,,,,5.16,sensor-ready,5.16,5.16,sensor-ready,5.16,,,,42.59,sensor-ready,42.59,,,,24.09,sensor-ready,24.09,,,,,,
AWGTPC6X,AWGTPC6X,CLARITY_NODE,hour,2024-01-18T20:00:00.000Z,2024-01-18T21:00:00.000Z,37.86850000,-122.50910000,,,,,,,,,,,,,,,,,,,2.78,calibration-missing,,3,calibration-missing,,3.35,calibration-missing,,4.21,sensor-ready,4.21,4.71,sensor-ready,4.71,0.35,calibration-missing,,4.01,sensor-ready,4.01,2.33,calibrated-ready,4.67,2,calibrated-ready,5,2.83,calibrated-ready,4.74,2.74,calibrated-ready,4.74,11,calibrated-ready,20,4.15,sensor-ready,4.15,4.65,sensor-ready,4.65,,,,40.82,sensor-ready,40.82,,,,25.35,sensor-ready,25.35,,,,,,
AWGTPC6X,AWGTPC6X,CLARITY_NODE,hour,2024-01-18T21:00:00.000Z,2024-01-18T22:00:00.000Z,37.86850000,-122.50910000,,,,,,,,,,,,,,,,,,,2.38,calibration-missing,,2,calibration-missing,,3.03,calibration-missing,,4.08,sensor-ready,4.08,4.50,sensor-ready,4.50,0.45,calibration-missing,,3.87,sensor-ready,3.87,2.16,calibrated-ready,4.26,2,calibrated-ready,4,2.60,calibrated-ready,4.58,2.45,calibrated-ready,4.56,10,calibrated-ready,19,4.03,sensor-ready,4.03,4.45,sensor-ready,4.45,,,,44.51,sensor-ready,44.51,,,,22.47,sensor-ready,22.47,,,,,,
AWGTPC6X,AWGTPC6X,CLARITY_NODE,hour,2024-01-18T22:00:00.000Z,2024-01-18T23:00:00.000Z,37.86850000,-122.50910000,,,,,,,,,,,,,,,,,,,2.12,calibration-missing,,2,calibration-missing,,2.80,calibration-missing,,3.81,sensor-ready,3.81,4.33,sensor-ready,4.33,0.33,calibration-missing,,3.65,sensor-ready,3.65,1.91,calibrated-ready,4.08,2,calibrated-ready,4,2.43,calibrated-ready,4.46,2.17,calibrated-ready,4.40,9,calibrated-ready,18,3.76,sensor-ready,3.76,4.27,sensor-ready,4.27,,,,45.95,sensor-ready,45.95,,,,21.45,sensor-ready,21.45,,,,,,
AWGTPC6X,AWGTPC6X,CLARITY_NODE,hour,2024-01-18T23:00:00.000Z,2024-01-19T00:00:00.000Z,37.86850000,-122.50910000,,,,,,,,,,,,,,,,,,,1.51,calibration-missing,,2,calibration-missing,,2.54,calibration-missing,,3.29,sensor-ready,3.29,4.12,sensor-ready,4.12,0.20,calibration-missing,,3.14,sensor-ready,3.14,1.41,calibrated-ready,3.78,1,calibrated-ready,4,2.23,calibrated-ready,4.32,1.76,calibrated-ready,4.20,7,calibrated-ready,18,3.25,sensor-ready,3.25,4.07,sensor-ready,4.07,,,,46.19,sensor-ready,46.19,,,,21.20,sensor-ready,21.20,,,,,,
AWGTPC6X,AWGTPC6X,CLARITY_NODE,hour,2024-01-19T00:00:00.000Z,2024-01-19T01:00:00.000Z,37.86850000,-122.50910000,,,,,,,,,,,,,,,,,,,2.24,calibration-missing,,2,calibration-missing,,2.49,calibration-missing,,3.63,sensor-ready,3.63,4.04,sensor-ready,4.04,0.26,calibration-missing,,3.47,sensor-ready,3.47,1.90,calibrated-ready,3.99,2,calibrated-ready,4,2.17,calibrated-ready,4.27,1.83,calibrated-ready,4.14,8,calibrated-ready,17,3.59,sensor-ready,3.59,3.99,sensor-ready,3.99,,,,46.89,sensor-ready,46.89,,,,21.13,sensor-ready,21.13,,,,,,
AWGTPC6X,AWGTPC6X,CLARITY_NODE,hour,2024-01-19T01:00:00.000Z,2024-01-19T02:00:00.000Z,37.86850000,-122.50910000,,,,,,,,,,,,,,,,,,,1.45,calibration-missing,,1,calibration-missing,,2.34,calibration-missing,,2.74,sensor-ready,2.74,3.85,sensor-ready,3.85,0.29,calibration-missing,,2.63,sensor-ready,2.63,1.11,calibrated-ready,3.49,1,calibrated-ready,3,2.02,calibrated-ready,4.16,1.46,calibrated-ready,3.91,6,calibrated-ready,16,2.71,sensor-ready,2.71,3.81,sensor-ready,3.81,,,,46.18,sensor-ready,46.18,,,,21.03,sensor-ready,21.03,,,,,,
AWGTPC6X,AWGTPC6X,CLARITY_NODE,hour,2024-01-19T02:00:00.000Z,2024-01-19T03:00:00.000Z,37.86850000,-122.50910000,,,,,,,,,,,,,,,,,,,1.92,calibration-missing,,2,calibration-missing,,2.29,calibration-missing,,2.61,sensor-ready,2.61,3.70,sensor-ready,3.70,0.19,calibration-missing,,2.49,sensor-ready,2.49,1.47,calibrated-ready,3.59,1,calibrated-ready,4,1.95,calibrated-ready,4.09,1.47,calibrated-ready,3.82,6,calibrated-ready,16,2.56,sensor-ready,2.56,3.65,sensor-ready,3.65,,,,46.02,sensor-ready,46.02,,,,20.94,sensor-ready,20.94,,,,,,
AWGTPC6X,AWGTPC6X,CLARITY_NODE,hour,2024-01-19T03:00:00.000Z,2024-01-19T04:00:00.000Z,37.86850000,-122.50910000,,,,,,,,,,,,,,,,,,,1.40,calibration-missing,,1,calibration-missing,,2.19,calibration-missing,,3.05,sensor-ready,3.05,3.63,sensor-ready,3.63,0.38,calibration-missing,,2.93,sensor-ready,2.93,1.21,calibrated-ready,3.60,1,calibrated-ready,4,1.87,calibrated-ready,4.03,1.34,calibrated-ready,3.75,6,calibrated-ready,16,3.01,sensor-ready,3.01,3.58,sensor-ready,3.58,,,,45.86,sensor-ready,45.86,,,,20.94,sensor-ready,20.94,,,,,,
AWGTPC6X,AWGTPC6X,CLARITY_NODE,hour,2024-01-19T04:00:00.000Z,2024-01-19T05:00:00.000Z,37.86850000,-122.50910000,,,,,,,,,,,,,,,,,,,0.83,calibration-missing,,1,calibration-missing,,2.06,calibration-missing,,1.49,sensor-ready,1.49,3.41,sensor-ready,3.41,0.00,calibration-missing,,1.40,sensor-ready,1.40,0.77,calibrated-ready,2.89,1,calibrated-ready,3,1.76,calibrated-ready,3.92,1.05,calibrated-ready,3.36,4,calibrated-ready,14,1.46,sensor-ready,1.46,3.37,sensor-ready,3.37,,,,45.90,sensor-ready,45.90,,,,21.18,sensor-ready,21.18,,,,,,
