nodeId,Source Id,Source Type,Output Frequency,Start of Period,End of Period,Location Latitude [deg],Location Longitude [deg],"Atmospheric pressure, 1-hour mean raw","Atmospheric pressure, 1-hour mean status","Atmospheric pressure, 1-hour mean value","NO2 concentration, 1-hour mean raw","NO2 concentration, 1-hour mean status","NO2 concentration, 1-hour mean value","NO2 concentration, 1-hour mean, UsEpaAqi raw","NO2 concentration, 1-hour mean, UsEpaAqi status","NO2 concentration, 1-hour mean, UsEpaAqi value","NO2 concentration, 1-hour mean, WaDwerAqi raw","NO2 concentration, 1-hour mean, WaDwerAqi status","NO2 concentration, 1-hour mean, WaDwerAqi value","Ozone, 1-hour mean raw","Ozone, 1-hour mean status","Ozone, 1-hour mean value","Ozone, 1-hour mean, WaDwerAqi raw","Ozone, 1-hour mean, WaDwerAqi status","Ozone, 1-hour mean, WaDwerAqi value","PM 10 mass concentration, 1-hour mean raw","PM 10 mass concentration, 1-hour mean status","PM 10 mass concentration, 1-hour mean value","PM 10 mass concentration, 1-hour mean, WaDwerAqi raw","PM 10 mass concentration, 1-hour mean, WaDwerAqi status","PM 10 mass concentration, 1-hour mean, WaDwerAqi value","PM 10 mass concentration, 24-hour rolling mean raw","PM 10 mass concentration, 24-hour rolling mean status","PM 10 mass concentration, 24-hour rolling mean value","PM 10 number concentration, 1-hour mean raw","PM 10 number concentration, 1-hour mean status","PM 10 number concentration, 1-hour mean value","PM 10 number concentration, 24-hour rolling mean raw","PM 10 number concentration, 24-hour rolling mean status","PM 10 number concentration, 24-hour rolling mean value","PM 1 mass concentration, 1-hour mean raw","PM 1 mass concentration, 1-hour mean status","PM 1 mass concentration, 1-hour mean value","PM 1 number concentration, 1-hour mean raw","PM 1 number concentration, 1-hour mean status","PM 1 number concentration, 1-hour mean value","PM 2.5 mass concentration, 1-hour mean raw","PM 2.5 mass concentration, 1-hour mean status","PM 2.5 mass concentration, 1-hour mean value","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi raw","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi status","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi value","PM 2.5 mass concentration, 24-hour rolling mean raw","PM 2.5 mass concentration, 24-hour rolling mean status","PM 2.5 mass concentration, 24-hour rolling mean value","PM 2.5 mass concentration, Nowcast raw","PM 2.5 mass concentration, Nowcast status","PM 2.5 mass concentration, Nowcast value","PM 2.5 mass concentration, Nowcast, UsEpaAqi raw","PM 2.5 mass concentration, Nowcast, UsEpaAqi status","PM 2.5 mass concentration, Nowcast, UsEpaAqi value","PM 2.5 number concentration, 1-hour mean raw","PM 2.5 number concentration, 1-hour mean status","PM 2.5 number concentration, 1-hour mean value","PM 2.5 number concentration, 24-hour rolling mean raw","PM 2.5 number concentration, 24-hour rolling mean status","PM 2.5 number concentration, 24-hour rolling mean value","Relative humidity ambient, 1-hour mean raw","Relative humidity ambient, 1-hour mean status","Relative humidity ambient, 1-hour mean value","Relative humidity internal, 1-hour mean raw","Relative humidity internal, 1-hour mean status","Relative humidity internal, 1-hour mean value","Temperature ambient, 1-hour mean raw","Temperature ambient, 1-hour mean status","Temperature ambient, 1-hour mean value","Temperature internal, 1-hour mean raw","Temperature internal, 1-hour mean status","Temperature internal, 1-hour mean value","Wind direction, 1-hour mean raw","Wind direction, 1-hour mean status","Wind direction, 1-hour mean value","Wind speed, 1-hour mean raw","Wind speed, 1-hour mean status","Wind speed, 1-hour mean value"
AYHCFXLY,AYHCFXLY,CLARITY_NODE,hour,2023-11-01T01:00:00.000Z,2023-11-01T02:00:00.000Z,37.71988730,-122.38458490,,,,,,,,,,,,,,,,,,,20.17,calibration-unknown,,20,calibration-unknown,,23.05,calibration-unknown,,19.77,sensor-ready,19.77,19.05,sensor-ready,19.05,11.31,calibration-unknown,,18.85,sensor-ready,18.85,17.61,calibrated-ready,9.04,18,calibrated-ready,9,20.21,calibrated-ready,7.78,16.80,calibrated-ready,9.11,61,calibrated-ready,38,19.63,sensor-ready,19.63,18.91,sensor-ready,18.91,,,,39.60,sensor-ready,39.60,,,,19.25,sensor-ready,19.25,,,,,,
AYHCFXLY,AYHCFXLY,CLARITY_NODE,hour,2023-11-01T02:00:00.000Z,2023-11-01T03:00:00.000Z,37.71988730,-122.38458490,,,,,,,,,,,,,,,,,,,33.66,calibration-unknown,,34,calibration-unknown,,23.85,calibration-unknown,,29.28,sensor-ready,29.28,19.69,sensor-ready,19.69,17.99,calibration-unknown,,27.78,sensor-ready,27.78,28.84,calibrated-ready,11.87,29,calibrated-ready,12,20.86,calibrated-ready,7.98,22.74,calibrated-ready,10.15,73,calibrated-ready,42,29.07,sensor-ready,29.07,19.55,sensor-ready,19.55,,,,45.51,sensor-ready,45.51,,,,16.58,sensor-ready,16.58,,,,,,
AYHCFXLY,AYHCFXLY,CLARITY_NODE,hour,2023-11-01T03:00:00.000Z,2023-11-01T04:00:00.000Z,37.71988730,-122.38458490,,,,,,,,,,,,,,,,,,,26.56,calibration-unknown,,27,calibration-unknown,,24.22,calibration-unknown,,23.82,sensor-ready,23.82,20.05,sensor-ready,20.05,15.32,calibration-unknown,,22.71,sensor-ready,22.71,24.10,calibrated-ready,9.07,24,calibrated-ready,9,21.24,calibrated-ready,8.03,23.41,calibrated-ready,9.74,75,calibrated-ready,41,23.65,sensor-ready,23.65,19.90,sensor-ready,19.90,,,,48.12,sensor-ready,48.12,,,,15.19,sensor-ready,15.19,,,,,,
AYHCFXLY,AYHCFXLY,CLARITY_NODE,hour,2023-11-01T04:00:00.000Z,2023-11-01T05:00:00.000Z,37.71988730,-122.38458490,,,,,,,,,,,,,,,,,,,25.05,calibration-unknown,,25,calibration-unknown,,24.50,calibration-unknown,,21.56,sensor-ready,21.56,20.30,sensor-ready,20.30,13.83,calibration-unknown,,20.57,sensor-ready,20.57,21.90,calibrated-ready,8.76,22,calibrated-ready,9,21.49,calibrated-ready,8.09,22.65,calibrated-ready,9.39,73,calibrated-ready,39,21.38,sensor-ready,21.38,20.15,sensor-ready,20.15,,,,47.83,sensor-ready,47.83,,,,14.85,sensor-ready,14.85,,,,,,
AYHCFXLY,AYHCFXLY,CLARITY_NODE,hour,2023-11-01T05:00:00.000Z,2023-11-01T06:00:00.000Z,37.71988730,-122.38458490,,,,,,,,,,,,,,,,,,,29.63,calibration-unknown,,30,calibration-unknown,,24.78,calibration-unknown,,23.59,sensor-ready,23.59,20.56,sensor-ready,20.56,15.94,calibration-unknown,,22.40,sensor-ready,22.40,25.56,calibrated-ready,9.20,26,calibrated-ready,9,21.74,calibrated-ready,8.15,24.07,calibrated-ready,9.40,76,calibrated-ready,39,23.42,sensor-ready,23.42,20.41,sensor-ready,20.41,,,,48.85,sensor-ready,48.85,,,,13.81,sensor-ready,13.81,,,,,,
AYHCFXLY,AYHCFXLY,CLARITY_NODE,hour,2023-11-01T06:00:00.000Z,2023-11-01T07:00:00.000Z,37.71988730,-122.38458490,,,,,,,,,,,,,,,,,,,49.79,calibration-unknown,,50,calibration-unknown,,25.93,calibration-unknown,,31.34,sensor-ready,31.34,21.17,sensor-ready,21.17,21.99,calibration-unknown,,29.48,sensor-ready,29.48,38.44,calibrated-ready,13.55,38,calibrated-ready,14,22.55,calibrated-ready,8.43,31.28,calibrated-ready,10.83,91,calibrated-ready,45,30.95,sensor-ready,30.95,21.00,sensor-ready,21.00,,,,54.03,sensor-ready,54.03,,,,12.08,sensor-ready,12.08,,,,,,
AYHCFXLY,AYHCFXLY,CLARITY_NODE,hour,2023-11-01T07:00:00.000Z,2023-11-01T08:00:00.000Z,37.71988730,-122.38458490,,,,,,,,,,,,,,,,,,,37.05,calibration-unknown,,37,calibration-unknown,,26.53,calibration-unknown,,26.81,sensor-ready,26.81,21.58,sensor-ready,21.58,20.04,calibration-unknown,,25.48,sensor-ready,25.48,31.79,calibrated-ready,9.11,32,calibrated-ready,9,23.08,calibrated-ready,8.52,31.54,calibrated-ready,10.22,92,calibrated-ready,43,26.58,sensor-ready,26.58,21.42,sensor-ready,21.42,,,,59.54,sensor-ready,59.54,,,,10.98,sensor-ready,10.98,,,,,,
AYHCFXLY,AYHCFXLY,CLARITY_NODE,hour,2023-11-01T08:00:00.000Z,2023-11-01T09:00:00.000Z,37.71988730,-122.38458490,,,,,,,,,,,,,,,,,,,37.84,calibration-unknown,,38,calibration-unknown,,27.26,calibration-unknown,,25.20,sensor-ready,25.20,22.02,sensor-ready,22.02,18.72,calibration-unknown,,23.81,sensor-ready,23.81,31.18,calibrated-ready,8.93,31,calibrated-ready,9,23.65,calibrated-ready,8.63,31.36,calibrated-ready,9.76,92,calibrated-ready,41,24.98,sensor-ready,24.98,21.85,sensor-ready,21.85,,,,67.77,sensor-ready,67.77,,,,10.20,sensor-ready,10.20,,,,,,
AYHCFXLY,AYHCFXLY,CLARITY_NODE,hour,2023-11-01T09:00:00.000Z,2023-11-01T10:00:00.000Z,37.71988730,-122.38458490,,,,,,,,,,,,,,,,,,,34.57,calibration-unknown,,35,calibration-unknown,,27.71,calibration-unknown,,25.63,sensor-ready,25.63,22.42,sensor-ready,22.42,18.94,calibration-unknown,,24.32,sensor-ready,24.32,31.13,calibrated-ready,7.69,31,calibrated-ready,8,24.14,calibrated-ready,8.69,31.25,calibrated-ready,8.82,91,calibrated-ready,37,25.44,sensor-ready,25.44,22.24,sensor-ready,22.24,,,,72.96,sensor-ready,72.96,,,,11.21,sensor-ready,11.21,,,,,,
AYHCFXLY,AYHCFXLY,CLARITY_NODE,hour,2023-11-01T10:00:00.000Z,2023-11-01T11:00:00.000Z,37.71988730,-122.38458490,,,,,,,,,,,,,,,,,,,34.96,calibration-unknown,,35,calibration-unknown,,28.28,calibration-unknown,,25.86,sensor-ready,25.86,22.83,sensor-ready,22.83,18.62,calibration-unknown,,24.53,sensor-ready,24.53,30.37,calibrated-ready,8.16,30,calibrated-ready,8,24.63,calibrated-ready,8.81,30.81,calibrated-ready,8.53,90,calibrated-ready,36,25.68,sensor-ready,25.68,22.65,sensor-ready,22.65,,,,74.69,sensor-ready,74.69,,,,10.86,sensor-ready,10.86,,,,,,
