nodeId,Source Id,Source Type,Output Frequency,Start of Period,End of Period,Location Latitude [deg],Location Longitude [deg],"Atmospheric pressure, 1-hour mean raw","Atmospheric pressure, 1-hour mean status","Atmospheric pressure, 1-hour mean value","NO2 concentration, 1-hour mean raw","NO2 concentration, 1-hour mean status","NO2 concentration, 1-hour mean value","NO2 concentration, 1-hour mean, UsEpaAqi raw","NO2 concentration, 1-hour mean, UsEpaAqi status","NO2 concentration, 1-hour mean, UsEpaAqi value","NO2 concentration, 1-hour mean, WaDwerAqi raw","NO2 concentration, 1-hour mean, WaDwerAqi status","NO2 concentration, 1-hour mean, WaDwerAqi value","Ozone, 1-hour mean raw","Ozone, 1-hour mean status","Ozone, 1-hour mean value","Ozone, 1-hour mean, WaDwerAqi raw","Ozone, 1-hour mean, WaDwerAqi status","Ozone, 1-hour mean, WaDwerAqi value","PM 10 mass concentration, 1-hour mean raw","PM 10 mass concentration, 1-hour mean status","PM 10 mass concentration, 1-hour mean value","PM 10 mass concentration, 1-hour mean, WaDwerAqi raw","PM 10 mass concentration, 1-hour mean, WaDwerAqi status","PM 10 mass concentration, 1-hour mean, WaDwerAqi value","PM 10 mass concentration, 24-hour rolling mean raw","PM 10 mass concentration, 24-hour rolling mean status","PM 10 mass concentration, 24-hour rolling mean value","PM 10 number concentration, 1-hour mean raw","PM 10 number concentration, 1-hour mean status","PM 10 number concentration, 1-hour mean value","PM 10 number concentration, 24-hour rolling mean raw","PM 10 number concentration, 24-hour rolling mean status","PM 10 number concentration, 24-hour rolling mean value","PM 1 mass concentration, 1-hour mean raw","PM 1 mass concentration, 1-hour mean status","PM 1 mass concentration, 1-hour mean value","PM 1 number concentration, 1-hour mean raw","PM 1 number concentration, 1-hour mean status","PM 1 number concentration, 1-hour mean value","PM 2.5 mass concentration, 1-hour mean raw","PM 2.5 mass concentration, 1-hour mean status","PM 2.5 mass concentration, 1-hour mean value","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi raw","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi status","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi value","PM 2.5 mass concentration, 24-hour rolling mean raw","PM 2.5 mass concentration, 24-hour rolling mean status","PM 2.5 mass concentration, 24-hour rolling mean value","PM 2.5 mass concentration, Nowcast raw","PM 2.5 mass concentration, Nowcast status","PM 2.5 mass concentration, Nowcast value","PM 2.5 mass concentration, Nowcast, UsEpaAqi raw","PM 2.5 mass concentration, Nowcast, UsEpaAqi status","PM 2.5 mass concentration, Nowcast, UsEpaAqi value","PM 2.5 number concentration, 1-hour mean raw","PM 2.5 number concentration, 1-hour mean status","PM 2.5 number concentration, 1-hour mean value","PM 2.5 number concentration, 24-hour rolling mean raw","PM 2.5 number concentration, 24-hour rolling mean status","PM 2.5 number concentration, 24-hour rolling mean value","Relative humidity ambient, 1-hour mean raw","Relative humidity ambient, 1-hour mean status","Relative humidity ambient, 1-hour mean value","Relative humidity internal, 1-hour mean raw","Relative humidity internal, 1-hour mean status","Relative humidity internal, 1-hour mean value","Temperature ambient, 1-hour mean raw","Temperature ambient, 1-hour mean status","Temperature ambient, 1-hour mean value","Temperature internal, 1-hour mean raw","Temperature internal, 1-hour mean status","Temperature internal, 1-hour mean value","Wind direction, 1-hour mean raw","Wind direction, 1-hour mean status","Wind direction, 1-hour mean value","Wind speed, 1-hour mean raw","Wind speed, 1-hour mean status","Wind speed, 1-hour mean value"
AQQCNWJ6,AQQCNWJ6,CLARITY_NODE,hour,2023-11-01T01:00:00.000Z,2023-11-01T02:00:00.000Z,37.71933910,-121.87298365,,,,,,,,,,,,,,,,,,,13.42,calibration-unknown,,13,calibration-unknown,,17.24,calibration-unknown,,13.90,sensor-ready,13.90,13.19,sensor-ready,13.19,7.84,calibration-unknown,,13.26,sensor-ready,13.26,12.41,calibrated-ready,7.06,12,calibrated-ready,7,15.52,calibrated-ready,6.40,12.72,calibrated-ready,7.41,52,calibrated-ready,31,13.81,sensor-ready,13.81,13.07,sensor-ready,13.07,,,,34.77,sensor-ready,34.77,,,,20.51,sensor-ready,20.51,,,,,,
AQQCNWJ6,AQQCNWJ6,CLARITY_NODE,hour,2023-11-01T02:00:00.000Z,2023-11-01T03:00:00.000Z,37.71933910,-121.87298365,,,,,,,,,,,,,,,,,,,13.86,calibration-unknown,,14,calibration-unknown,,17.26,calibration-unknown,,13.25,sensor-ready,13.25,13.24,sensor-ready,13.24,7.62,calibration-unknown,,12.59,sensor-ready,12.59,13.18,calibrated-ready,6.71,13,calibrated-ready,7,15.56,calibrated-ready,6.41,12.89,calibrated-ready,7.19,53,calibrated-ready,30,13.14,sensor-ready,13.14,13.12,sensor-ready,13.12,,,,37.17,sensor-ready,37.17,,,,17.90,sensor-ready,17.90,,,,,,
AQQCNWJ6,AQQCNWJ6,CLARITY_NODE,hour,2023-11-01T03:00:00.000Z,2023-11-01T04:00:00.000Z,37.71933910,-121.87298365,,,,,,,,,,,,,,,,,,,14.61,calibration-unknown,,15,calibration-unknown,,17.12,calibration-unknown,,12.78,sensor-ready,12.78,13.17,sensor-ready,13.17,7.74,calibration-unknown,,12.12,sensor-ready,12.12,13.32,calibrated-ready,6.41,13,calibrated-ready,6,15.45,calibrated-ready,6.38,13.05,calibrated-ready,7.05,53,calibrated-ready,29,12.68,sensor-ready,12.68,13.05,sensor-ready,13.05,,,,39.91,sensor-ready,39.91,,,,15.79,sensor-ready,15.79,,,,,,
AQQCNWJ6,AQQCNWJ6,CLARITY_NODE,hour,2023-11-01T04:00:00.000Z,2023-11-01T05:00:00.000Z,37.71933910,-121.87298365,,,,,,,,,,,,,,,,,,,15.40,calibration-unknown,,15,calibration-unknown,,16.90,calibration-unknown,,11.84,sensor-ready,11.84,13.00,sensor-ready,13.00,7.74,calibration-unknown,,11.23,sensor-ready,11.23,13.44,calibrated-ready,6.06,13,calibrated-ready,6,15.20,calibrated-ready,6.34,13.17,calibrated-ready,6.83,53,calibrated-ready,28,11.73,sensor-ready,11.73,12.88,sensor-ready,12.88,,,,42.24,sensor-ready,42.24,,,,14.08,sensor-ready,14.08,,,,,,
AQQCNWJ6,AQQCNWJ6,CLARITY_NODE,hour,2023-11-01T05:00:00.000Z,2023-11-01T06:00:00.000Z,37.71933910,-121.87298365,,,,,,,,,,,,,,,,,,,14.13,calibration-unknown,,14,calibration-unknown,,16.55,calibration-unknown,,11.05,sensor-ready,11.05,12.82,sensor-ready,12.82,6.84,calibration-unknown,,10.45,sensor-ready,10.45,12.72,calibrated-ready,5.79,13,calibrated-ready,6,14.90,calibrated-ready,6.29,13.03,calibrated-ready,6.50,53,calibrated-ready,27,10.95,sensor-ready,10.95,12.70,sensor-ready,12.70,,,,43.95,sensor-ready,43.95,,,,12.71,sensor-ready,12.71,,,,,,
AQQCNWJ6,AQQCNWJ6,CLARITY_NODE,hour,2023-11-01T06:00:00.000Z,2023-11-01T07:00:00.000Z,37.71933910,-121.87298365,,,,,,,,,,,,,,,,,,,14.83,calibration-unknown,,15,calibration-unknown,,15.93,calibration-unknown,,10.82,sensor-ready,10.82,12.35,sensor-ready,12.35,7.03,calibration-unknown,,10.20,sensor-ready,10.20,13.27,calibrated-ready,5.56,13,calibrated-ready,6,14.37,calibrated-ready,6.16,13.09,calibrated-ready,6.17,53,calibrated-ready,26,10.72,sensor-ready,10.72,12.24,sensor-ready,12.24,,,,45.69,sensor-ready,45.69,,,,11.45,sensor-ready,11.45,,,,,,
AQQCNWJ6,AQQCNWJ6,CLARITY_NODE,hour,2023-11-01T07:00:00.000Z,2023-11-01T08:00:00.000Z,37.71933910,-121.87298365,,,,,,,,,,,,,,,,,,,14.13,calibration-unknown,,14,calibration-unknown,,15.99,calibration-unknown,,10.11,sensor-ready,10.11,12.37,sensor-ready,12.37,6.66,calibration-unknown,,9.58,sensor-ready,9.58,12.81,calibrated-ready,5.19,13,calibrated-ready,5,14.42,calibrated-ready,6.18,12.98,calibrated-ready,5.76,53,calibrated-ready,24,10.00,sensor-ready,10.00,12.26,sensor-ready,12.26,,,,47.02,sensor-ready,47.02,,,,10.53,sensor-ready,10.53,,,,,,
AQQCNWJ6,AQQCNWJ6,CLARITY_NODE,hour,2023-11-01T08:00:00.000Z,2023-11-01T09:00:00.000Z,37.71933910,-121.87298365,,,,,,,,,,,,,,,,,,,15.13,calibration-unknown,,15,calibration-unknown,,16.10,calibration-unknown,,10.33,sensor-ready,10.33,12.44,sensor-ready,12.44,7.09,calibration-unknown,,9.80,sensor-ready,9.80,12.77,calibrated-ready,5.29,13,calibrated-ready,5,14.49,calibrated-ready,6.20,12.88,calibrated-ready,5.61,53,calibrated-ready,23,10.24,sensor-ready,10.24,12.32,sensor-ready,12.32,,,,48.50,sensor-ready,48.50,,,,9.67,sensor-ready,9.67,,,,,,
AQQCNWJ6,AQQCNWJ6,CLARITY_NODE,hour,2023-11-01T09:00:00.000Z,2023-11-01T10:00:00.000Z,37.71933910,-121.87298365,,,,,,,,,,,,,,,,,,,14.82,calibration-unknown,,15,calibration-unknown,,16.19,calibration-unknown,,10.19,sensor-ready,10.19,12.49,sensor-ready,12.49,7.26,calibration-unknown,,9.61,sensor-ready,9.61,13.38,calibrated-ready,4.83,13,calibrated-ready,5,14.55,calibrated-ready,6.22,12.96,calibrated-ready,5.26,53,calibrated-ready,22,10.09,sensor-ready,10.09,12.37,sensor-ready,12.37,,,,49.95,sensor-ready,49.95,,,,8.81,sensor-ready,8.81,,,,,,
AQQCNWJ6,AQQCNWJ6,CLARITY_NODE,hour,2023-11-01T10:00:00.000Z,2023-11-01T11:00:00.000Z,37.71933910,-121.87298365,,,,,,,,,,,,,,,,,,,16.59,calibration-unknown,,17,calibration-unknown,,16.30,calibration-unknown,,9.89,sensor-ready,9.89,12.54,sensor-ready,12.54,7.03,calibration-unknown,,9.32,sensor-ready,9.32,14.11,calibrated-ready,5.13,14,calibrated-ready,5,14.63,calibrated-ready,6.24,13.18,calibrated-ready,5.21,53,calibrated-ready,22,9.77,sensor-ready,9.77,12.42,sensor-ready,12.42,,,,51.45,sensor-ready,51.45,,,,8.22,sensor-ready,8.22,,,,,,
