nodeId,Source Id,Source Type,Output Frequency,Start of Period,End of Period,Location Latitude [deg],Location Longitude [deg],"Atmospheric pressure, 1-hour mean raw","Atmospheric pressure, 1-hour mean status","Atmospheric pressure, 1-hour mean value","NO2 concentration, 1-hour mean raw","NO2 concentration, 1-hour mean status","NO2 concentration, 1-hour mean value","NO2 concentration, 1-hour mean, UsEpaAqi raw","NO2 concentration, 1-hour mean, UsEpaAqi status","NO2 concentration, 1-hour mean, UsEpaAqi value","NO2 concentration, 1-hour mean, WaDwerAqi raw","NO2 concentration, 1-hour mean, WaDwerAqi status","NO2 concentration, 1-hour mean, WaDwerAqi value","Ozone, 1-hour mean raw","Ozone, 1-hour mean status","Ozone, 1-hour mean value","Ozone, 1-hour mean, WaDwerAqi raw","Ozone, 1-hour mean, WaDwerAqi status","Ozone, 1-hour mean, WaDwerAqi value","PM 10 mass concentration, 1-hour mean raw","PM 10 mass concentration, 1-hour mean status","PM 10 mass concentration, 1-hour mean value","PM 10 mass concentration, 1-hour mean, WaDwerAqi raw","PM 10 mass concentration, 1-hour mean, WaDwerAqi status","PM 10 mass concentration, 1-hour mean, WaDwerAqi value","PM 10 mass concentration, 24-hour rolling mean raw","PM 10 mass concentration, 24-hour rolling mean status","PM 10 mass concentration, 24-hour rolling mean value","PM 10 number concentration, 1-hour mean raw","PM 10 number concentration, 1-hour mean status","PM 10 number concentration, 1-hour mean value","PM 10 number concentration, 24-hour rolling mean raw","PM 10 number concentration, 24-hour rolling mean status","PM 10 number concentration, 24-hour rolling mean value","PM 1 mass concentration, 1-hour mean raw","PM 1 mass concentration, 1-hour mean status","PM 1 mass concentration, 1-hour mean value","PM 1 number concentration, 1-hour mean raw","PM 1 number concentration, 1-hour mean status","PM 1 number concentration, 1-hour mean value","PM 2.5 mass concentration, 1-hour mean raw","PM 2.5 mass concentration, 1-hour mean status","PM 2.5 mass concentration, 1-hour mean value","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi raw","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi status","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi value","PM 2.5 mass concentration, 24-hour rolling mean raw","PM 2.5 mass concentration, 24-hour rolling mean status","PM 2.5 mass concentration, 24-hour rolling mean value","PM 2.5 mass concentration, Nowcast raw","PM 2.5 mass concentration, Nowcast status","PM 2.5 mass concentration, Nowcast value","PM 2.5 mass concentration, Nowcast, UsEpaAqi raw","PM 2.5 mass concentration, Nowcast, UsEpaAqi status","PM 2.5 mass concentration, Nowcast, UsEpaAqi value","PM 2.5 number concentration, 1-hour mean raw","PM 2.5 number concentration, 1-hour mean status","PM 2.5 number concentration, 1-hour mean value","PM 2.5 number concentration, 24-hour rolling mean raw","PM 2.5 number concentration, 24-hour rolling mean status","PM 2.5 number concentration, 24-hour rolling mean value","Relative humidity ambient, 1-hour mean raw","Relative humidity ambient, 1-hour mean status","Relative humidity ambient, 1-hour mean value","Relative humidity internal, 1-hour mean raw","Relative humidity internal, 1-hour mean status","Relative humidity internal, 1-hour mean value","Temperature ambient, 1-hour mean raw","Temperature ambient, 1-hour mean status","Temperature ambient, 1-hour mean value","Temperature internal, 1-hour mean raw","Temperature internal, 1-hour mean status","Temperature internal, 1-hour mean value","Wind direction, 1-hour mean raw","Wind direction, 1-hour mean status","Wind direction, 1-hour mean value","Wind speed, 1-hour mean raw","Wind speed, 1-hour mean status","Wind speed, 1-hour mean value"
A7GQ9J97,A7GQ9J97,CLARITY_NODE,hour,2023-11-01T01:00:00.000Z,2023-11-01T02:00:00.000Z,37.91634500,-121.21412500,,,,,,,,,,,,,,,,,,,26.95,calibration-unknown,,27,calibration-unknown,,39.95,calibration-unknown,,26.71,sensor-ready,26.71,30.00,sensor-ready,30.00,14.34,calibration-unknown,,25.18,sensor-ready,25.18,23.52,calibrated-ready,12.04,24,calibrated-ready,12,35.07,calibrated-ready,11.89,21.51,calibrated-ready,11.49,71,calibrated-ready,48,26.52,sensor-ready,26.52,29.74,sensor-ready,29.74,,,,38.28,sensor-ready,38.28,,,,19.61,sensor-ready,19.61,,,,,,
A7GQ9J97,A7GQ9J97,CLARITY_NODE,hour,2023-11-01T02:00:00.000Z,2023-11-01T03:00:00.000Z,37.91634500,-121.21412500,,,,,,,,,,,,,,,,,,,21.05,calibration-unknown,,21,calibration-unknown,,40.14,calibration-unknown,,19.39,sensor-ready,19.39,30.21,sensor-ready,30.21,11.35,calibration-unknown,,18.31,sensor-ready,18.31,19.47,calibrated-ready,8.29,19,calibrated-ready,8,35.25,calibrated-ready,11.95,20.48,calibrated-ready,9.89,69,calibrated-ready,41,19.26,sensor-ready,19.26,29.96,sensor-ready,29.96,,,,46.50,sensor-ready,46.50,,,,15.59,sensor-ready,15.59,,,,,,
A7GQ9J97,A7GQ9J97,CLARITY_NODE,hour,2023-11-01T03:00:00.000Z,2023-11-01T04:00:00.000Z,37.91634500,-121.21412500,,,,,,,,,,,,,,,,,,,27.38,calibration-unknown,,27,calibration-unknown,,40.52,calibration-unknown,,21.25,sensor-ready,21.25,30.53,sensor-ready,30.53,13.29,calibration-unknown,,19.96,sensor-ready,19.96,25.31,calibrated-ready,8.49,25,calibrated-ready,8,35.61,calibrated-ready,12.02,22.89,calibrated-ready,9.19,74,calibrated-ready,38,21.09,sensor-ready,21.09,30.27,sensor-ready,30.27,,,,52.40,sensor-ready,52.40,,,,12.82,sensor-ready,12.82,,,,,,
A7GQ9J97,A7GQ9J97,CLARITY_NODE,hour,2023-11-01T04:00:00.000Z,2023-11-01T05:00:00.000Z,37.91634500,-121.21412500,,,,,,,,,,,,,,,,,,,27.50,calibration-unknown,,28,calibration-unknown,,40.78,calibration-unknown,,20.05,sensor-ready,20.05,30.70,sensor-ready,30.70,13.09,calibration-unknown,,18.82,sensor-ready,18.82,25.11,calibrated-ready,7.96,25,calibrated-ready,8,35.87,calibrated-ready,12.07,24.00,calibrated-ready,8.58,76,calibrated-ready,36,19.86,sensor-ready,19.86,30.44,sensor-ready,30.44,,,,55.68,sensor-ready,55.68,,,,10.94,sensor-ready,10.94,,,,,,
A7GQ9J97,A7GQ9J97,CLARITY_NODE,hour,2023-11-01T05:00:00.000Z,2023-11-01T06:00:00.000Z,37.91634500,-121.21412500,,,,,,,,,,,,,,,,,,,32.55,calibration-unknown,,33,calibration-unknown,,40.90,calibration-unknown,,22.04,sensor-ready,22.04,30.75,sensor-ready,30.75,14.83,calibration-unknown,,20.71,sensor-ready,20.71,28.74,calibrated-ready,8.58,29,calibrated-ready,9,35.91,calibrated-ready,12.10,26.37,calibrated-ready,8.57,81,calibrated-ready,36,21.82,sensor-ready,21.82,30.49,sensor-ready,30.49,,,,61.17,sensor-ready,61.17,,,,9.41,sensor-ready,9.41,,,,,,
A7GQ9J97,A7GQ9J97,CLARITY_NODE,hour,2023-11-01T06:00:00.000Z,2023-11-01T07:00:00.000Z,37.91634500,-121.21412500,,,,,,,,,,,,,,,,,,,29.45,calibration-unknown,,29,calibration-unknown,,40.67,calibration-unknown,,20.21,sensor-ready,20.21,30.60,sensor-ready,30.60,14.01,calibration-unknown,,18.98,sensor-ready,18.98,27.20,calibrated-ready,7.45,27,calibrated-ready,7,35.70,calibrated-ready,12.08,26.78,calibrated-ready,8.01,82,calibrated-ready,33,20.02,sensor-ready,20.02,30.34,sensor-ready,30.34,,,,59.83,sensor-ready,59.83,,,,7.96,sensor-ready,7.96,,,,,,
A7GQ9J97,A7GQ9J97,CLARITY_NODE,hour,2023-11-01T07:00:00.000Z,2023-11-01T08:00:00.000Z,37.91634500,-121.21412500,,,,,,,,,,,,,,,,,,,32.75,calibration-unknown,,33,calibration-unknown,,40.63,calibration-unknown,,21.93,sensor-ready,21.93,30.62,sensor-ready,30.62,16.21,calibration-unknown,,20.63,sensor-ready,20.63,30.59,calibrated-ready,7.11,31,calibrated-ready,7,35.69,calibrated-ready,12.05,28.68,calibrated-ready,7.56,86,calibrated-ready,32,21.73,sensor-ready,21.73,30.36,sensor-ready,30.36,,,,65.48,sensor-ready,65.48,,,,6.76,sensor-ready,6.76,,,,,,
A7GQ9J97,A7GQ9J97,CLARITY_NODE,hour,2023-11-01T08:00:00.000Z,2023-11-01T09:00:00.000Z,37.91634500,-121.21412500,,,,,,,,,,,,,,,,,,,36.06,calibration-unknown,,36,calibration-unknown,,40.81,calibration-unknown,,23.31,sensor-ready,23.31,30.77,sensor-ready,30.77,17.32,calibration-unknown,,21.82,sensor-ready,21.82,33.74,calibrated-ready,7.50,34,calibrated-ready,8,35.87,calibrated-ready,12.08,31.21,calibrated-ready,7.53,91,calibrated-ready,31,23.11,sensor-ready,23.11,30.51,sensor-ready,30.51,,,,65.60,sensor-ready,65.60,,,,5.84,sensor-ready,5.84,,,,,,
A7GQ9J97,A7GQ9J97,CLARITY_NODE,hour,2023-11-01T09:00:00.000Z,2023-11-01T10:00:00.000Z,37.91634500,-121.21412500,,,,,,,,,,,,,,,,,,,40.37,calibration-unknown,,40,calibration-unknown,,41.04,calibration-unknown,,23.43,sensor-ready,23.43,30.88,sensor-ready,30.88,17.43,calibration-unknown,,21.90,sensor-ready,21.90,36.95,calibrated-ready,8.22,37,calibrated-ready,8,36.07,calibrated-ready,12.12,34.08,calibrated-ready,7.87,97,calibrated-ready,33,23.15,sensor-ready,23.15,30.61,sensor-ready,30.61,,,,65.96,sensor-ready,65.96,,,,5.06,sensor-ready,5.06,,,,,,
A7GQ9J97,A7GQ9J97,CLARITY_NODE,hour,2023-11-01T10:00:00.000Z,2023-11-01T11:00:00.000Z,37.91634500,-121.21412500,,,,,,,,,,,,,,,,,,,44.83,calibration-unknown,,45,calibration-unknown,,41.19,calibration-unknown,,26.67,sensor-ready,26.67,30.95,sensor-ready,30.95,21.11,calibration-unknown,,24.98,sensor-ready,24.98,40.88,calibrated-ready,8.20,41,calibrated-ready,8,36.14,calibrated-ready,12.16,37.48,calibrated-ready,8.00,106,calibrated-ready,33,26.41,sensor-ready,26.41,30.69,sensor-ready,30.69,,,,69.34,sensor-ready,69.34,,,,4.31,sensor-ready,4.31,,,,,,
