nodeId,Source Id,Source Type,Output Frequency,Start of Period,End of Period,Location Latitude [deg],Location Longitude [deg],"Atmospheric pressure, 1-hour mean raw","Atmospheric pressure, 1-hour mean status","Atmospheric pressure, 1-hour mean value","NO2 concentration, 1-hour mean raw","NO2 concentration, 1-hour mean status","NO2 concentration, 1-hour mean value","NO2 concentration, 1-hour mean, UsEpaAqi raw","NO2 concentration, 1-hour mean, UsEpaAqi status","NO2 concentration, 1-hour mean, UsEpaAqi value","NO2 concentration, 1-hour mean, WaDwerAqi raw","NO2 concentration, 1-hour mean, WaDwerAqi status","NO2 concentration, 1-hour mean, WaDwerAqi value","Ozone, 1-hour mean raw","Ozone, 1-hour mean status","Ozone, 1-hour mean value","Ozone, 1-hour mean, WaDwerAqi raw","Ozone, 1-hour mean, WaDwerAqi status","Ozone, 1-hour mean, WaDwerAqi value","PM 10 mass concentration, 1-hour mean raw","PM 10 mass concentration, 1-hour mean status","PM 10 mass concentration, 1-hour mean value","PM 10 mass concentration, 1-hour mean, WaDwerAqi raw","PM 10 mass concentration, 1-hour mean, WaDwerAqi status","PM 10 mass concentration, 1-hour mean, WaDwerAqi value","PM 10 mass concentration, 24-hour rolling mean raw","PM 10 mass concentration, 24-hour rolling mean status","PM 10 mass concentration, 24-hour rolling mean value","PM 10 number concentration, 1-hour mean raw","PM 10 number concentration, 1-hour mean status","PM 10 number concentration, 1-hour mean value","PM 10 number concentration, 24-hour rolling mean raw","PM 10 number concentration, 24-hour rolling mean status","PM 10 number concentration, 24-hour rolling mean value","PM 1 mass concentration, 1-hour mean raw","PM 1 mass concentration, 1-hour mean status","PM 1 mass concentration, 1-hour mean value","PM 1 number concentration, 1-hour mean raw","PM 1 number concentration, 1-hour mean status","PM 1 number concentration, 1-hour mean value","PM 2.5 mass concentration, 1-hour mean raw","PM 2.5 mass concentration, 1-hour mean status","PM 2.5 mass concentration, 1-hour mean value","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi raw","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi status","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi value","PM 2.5 mass concentration, 24-hour rolling mean raw","PM 2.5 mass concentration, 24-hour rolling mean status","PM 2.5 mass concentration, 24-hour rolling mean value","PM 2.5 mass concentration, Nowcast raw","PM 2.5 mass concentration, Nowcast status","PM 2.5 mass concentration, Nowcast value","PM 2.5 mass concentration, Nowcast, UsEpaAqi raw","PM 2.5 mass concentration, Nowcast, UsEpaAqi status","PM 2.5 mass concentration, Nowcast, UsEpaAqi value","PM 2.5 number concentration, 1-hour mean raw","PM 2.5 number concentration, 1-hour mean status","PM 2.5 number concentration, 1-hour mean value","PM 2.5 number concentration, 24-hour rolling mean raw","PM 2.5 number concentration, 24-hour rolling mean status","PM 2.5 number concentration, 24-hour rolling mean value","Relative humidity ambient, 1-hour mean raw","Relative humidity ambient, 1-hour mean status","Relative humidity ambient, 1-hour mean value","Relative humidity internal, 1-hour mean raw","Relative humidity internal, 1-hour mean status","Relative humidity internal, 1-hour mean value","Temperature ambient, 1-hour mean raw","Temperature ambient, 1-hour mean status","Temperature ambient, 1-hour mean value","Temperature internal, 1-hour mean raw","Temperature internal, 1-hour mean status","Temperature internal, 1-hour mean value","Wind direction, 1-hour mean raw","Wind direction, 1-hour mean status","Wind direction, 1-hour mean value","Wind speed, 1-hour mean raw","Wind speed, 1-hour mean status","Wind speed, 1-hour mean value"
AHKH4FHH,AHKH4FHH,CLARITY_NODE,hour,2023-11-07T22:00:00.000Z,2023-11-07T23:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,1.92,calibration-unknown,,2,calibration-unknown,,1.92,calibration-unknown,,1.91,sensor-ready,1.91,1.91,sensor-ready,1.91,0.00,calibration-unknown,,1.79,sensor-ready,1.79,1.35,calibrated-ready,3.53,1,calibrated-ready,4,1.35,calibrated-ready,3.53,,,,,,,1.87,sensor-ready,1.87,1.87,sensor-ready,1.87,,,,41.96,sensor-ready,41.96,,,,22.58,sensor-ready,22.58,,,,,,
AHKH4FHH,AHKH4FHH,CLARITY_NODE,hour,2023-11-07T23:00:00.000Z,2023-11-08T00:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,1.68,calibration-unknown,,2,calibration-unknown,,1.80,calibration-unknown,,2.28,sensor-ready,2.28,2.09,sensor-ready,2.09,0.19,calibration-unknown,,2.12,sensor-ready,2.12,1.16,calibrated-ready,3.82,1,calibrated-ready,4,1.25,calibrated-ready,3.68,1.25,calibrated-ready,3.68,5,calibrated-ready,15,2.23,sensor-ready,2.23,2.05,sensor-ready,2.05,,,,37.91,sensor-ready,37.91,,,,25.25,sensor-ready,25.25,,,,,,
AHKH4FHH,AHKH4FHH,CLARITY_NODE,hour,2023-11-08T00:00:00.000Z,2023-11-08T01:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,2.03,calibration-unknown,,2,calibration-unknown,,1.88,calibration-unknown,,2.73,sensor-ready,2.73,2.31,sensor-ready,2.31,0.51,calibration-unknown,,2.56,sensor-ready,2.56,1.55,calibrated-ready,3.69,2,calibrated-ready,4,1.35,calibrated-ready,3.68,1.38,calibrated-ready,3.69,6,calibrated-ready,15,2.69,sensor-ready,2.69,2.26,sensor-ready,2.26,,,,41.90,sensor-ready,41.90,,,,23.59,sensor-ready,23.59,,,,,,
AHKH4FHH,AHKH4FHH,CLARITY_NODE,hour,2023-11-08T01:00:00.000Z,2023-11-08T02:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,4.55,calibration-unknown,,5,calibration-unknown,,2.54,calibration-unknown,,6.24,sensor-ready,6.24,3.29,sensor-ready,3.29,2.13,calibration-unknown,,5.99,sensor-ready,5.99,4.19,calibrated-ready,4.78,4,calibrated-ready,5,2.06,calibrated-ready,3.96,2.89,calibrated-ready,4.10,12,calibrated-ready,17,6.20,sensor-ready,6.20,3.25,sensor-ready,3.25,,,,42.21,sensor-ready,42.21,,,,23.01,sensor-ready,23.01,,,,,,
AHKH4FHH,AHKH4FHH,CLARITY_NODE,hour,2023-11-08T02:00:00.000Z,2023-11-08T03:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,2.78,calibration-unknown,,3,calibration-unknown,,2.59,calibration-unknown,,3.48,sensor-ready,3.48,3.33,sensor-ready,3.33,0.72,calibration-unknown,,3.29,sensor-ready,3.29,2.33,calibrated-ready,4.01,2,calibrated-ready,4,2.12,calibrated-ready,3.97,2.60,calibrated-ready,4.07,11,calibrated-ready,17,3.43,sensor-ready,3.43,3.28,sensor-ready,3.28,,,,42.78,sensor-ready,42.78,,,,22.71,sensor-ready,22.71,,,,,,
AHKH4FHH,AHKH4FHH,CLARITY_NODE,hour,2023-11-08T03:00:00.000Z,2023-11-08T04:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,2.89,calibration-unknown,,3,calibration-unknown,,2.64,calibration-unknown,,3.81,sensor-ready,3.81,3.41,sensor-ready,3.41,0.92,calibration-unknown,,3.61,sensor-ready,3.61,2.44,calibrated-ready,4.04,2,calibrated-ready,4,2.17,calibrated-ready,3.98,2.52,calibrated-ready,4.06,11,calibrated-ready,17,3.76,sensor-ready,3.76,3.36,sensor-ready,3.36,,,,43.07,sensor-ready,43.07,,,,22.47,sensor-ready,22.47,,,,,,
AHKH4FHH,AHKH4FHH,CLARITY_NODE,hour,2023-11-08T04:00:00.000Z,2023-11-08T05:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,2.53,calibration-unknown,,3,calibration-unknown,,2.63,calibration-unknown,,2.76,sensor-ready,2.76,3.31,sensor-ready,3.31,0.58,calibration-unknown,,2.61,sensor-ready,2.61,1.74,calibrated-ready,3.70,2,calibrated-ready,4,2.11,calibrated-ready,3.94,2.13,calibrated-ready,3.95,9,calibrated-ready,16,2.71,sensor-ready,2.71,3.27,sensor-ready,3.27,,,,43.52,sensor-ready,43.52,,,,22.43,sensor-ready,22.43,,,,,,
AHKH4FHH,AHKH4FHH,CLARITY_NODE,hour,2023-11-08T05:00:00.000Z,2023-11-08T06:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,2.14,calibration-unknown,,2,calibration-unknown,,2.57,calibration-unknown,,2.89,sensor-ready,2.89,3.26,sensor-ready,3.26,0.59,calibration-unknown,,2.75,sensor-ready,2.75,1.80,calibrated-ready,3.64,2,calibrated-ready,4,2.07,calibrated-ready,3.90,1.96,calibrated-ready,3.86,8,calibrated-ready,16,2.84,sensor-ready,2.84,3.22,sensor-ready,3.22,,,,43.17,sensor-ready,43.17,,,,22.75,sensor-ready,22.75,,,,,,
AHKH4FHH,AHKH4FHH,CLARITY_NODE,hour,2023-11-08T06:00:00.000Z,2023-11-08T07:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,1.92,calibration-unknown,,2,calibration-unknown,,2.49,calibration-unknown,,3.02,sensor-ready,3.02,3.24,sensor-ready,3.24,0.58,calibration-unknown,,2.87,sensor-ready,2.87,1.67,calibrated-ready,3.69,2,calibrated-ready,4,2.03,calibrated-ready,3.88,1.81,calibrated-ready,3.81,8,calibrated-ready,16,2.99,sensor-ready,2.99,3.19,sensor-ready,3.19,,,,42.73,sensor-ready,42.73,,,,22.94,sensor-ready,22.94,,,,,,
AHKH4FHH,AHKH4FHH,CLARITY_NODE,hour,2023-11-08T07:00:00.000Z,2023-11-08T08:00:00.000Z,37.87451562,-122.25845453,,,,,,,,,,,,,,,,,,,1.78,calibration-unknown,,2,calibration-unknown,,2.42,calibration-unknown,,2.72,sensor-ready,2.72,3.18,sensor-ready,3.18,0.34,calibration-unknown,,2.59,sensor-ready,2.59,1.59,calibrated-ready,3.66,2,calibrated-ready,4,1.98,calibrated-ready,3.86,1.70,calibrated-ready,3.77,7,calibrated-ready,16,2.68,sensor-ready,2.68,3.14,sensor-ready,3.14,,,,42.32,sensor-ready,42.32,,,,23.00,sensor-ready,23.00,,,,,,
