nodeId,Source Id,Source Type,Output Frequency,Start of Period,End of Period,Location Latitude [deg],Location Longitude [deg],"Atmospheric pressure, 1-hour mean raw","Atmospheric pressure, 1-hour mean status","Atmospheric pressure, 1-hour mean value","NO2 concentration, 1-hour mean raw","NO2 concentration, 1-hour mean status","NO2 concentration, 1-hour mean value","NO2 concentration, 1-hour mean, UsEpaAqi raw","NO2 concentration, 1-hour mean, UsEpaAqi status","NO2 concentration, 1-hour mean, UsEpaAqi value","NO2 concentration, 1-hour mean, WaDwerAqi raw","NO2 concentration, 1-hour mean, WaDwerAqi status","NO2 concentration, 1-hour mean, WaDwerAqi value","Ozone, 1-hour mean raw","Ozone, 1-hour mean status","Ozone, 1-hour mean value","Ozone, 1-hour mean, WaDwerAqi raw","Ozone, 1-hour mean, WaDwerAqi status","Ozone, 1-hour mean, WaDwerAqi value","PM 10 mass concentration, 1-hour mean raw","PM 10 mass concentration, 1-hour mean status","PM 10 mass concentration, 1-hour mean value","PM 10 mass concentration, 1-hour mean, WaDwerAqi raw","PM 10 mass concentration, 1-hour mean, WaDwerAqi status","PM 10 mass concentration, 1-hour mean, WaDwerAqi value","PM 10 mass concentration, 24-hour rolling mean raw","PM 10 mass concentration, 24-hour rolling mean status","PM 10 mass concentration, 24-hour rolling mean value","PM 10 number concentration, 1-hour mean raw","PM 10 number concentration, 1-hour mean status","PM 10 number concentration, 1-hour mean value","PM 10 number concentration, 24-hour rolling mean raw","PM 10 number concentration, 24-hour rolling mean status","PM 10 number concentration, 24-hour rolling mean value","PM 1 mass concentration, 1-hour mean raw","PM 1 mass concentration, 1-hour mean status","PM 1 mass concentration, 1-hour mean value","PM 1 number concentration, 1-hour mean raw","PM 1 number concentration, 1-hour mean status","PM 1 number concentration, 1-hour mean value","PM 2.5 mass concentration, 1-hour mean raw","PM 2.5 mass concentration, 1-hour mean status","PM 2.5 mass concentration, 1-hour mean value","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi raw","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi status","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi value","PM 2.5 mass concentration, 24-hour rolling mean raw","PM 2.5 mass concentration, 24-hour rolling mean status","PM 2.5 mass concentration, 24-hour rolling mean value","PM 2.5 mass concentration, Nowcast raw","PM 2.5 mass concentration, Nowcast status","PM 2.5 mass concentration, Nowcast value","PM 2.5 mass concentration, Nowcast, UsEpaAqi raw","PM 2.5 mass concentration, Nowcast, UsEpaAqi status","PM 2.5 mass concentration, Nowcast, UsEpaAqi value","PM 2.5 number concentration, 1-hour mean raw","PM 2.5 number concentration, 1-hour mean status","PM 2.5 number concentration, 1-hour mean value","PM 2.5 number concentration, 24-hour rolling mean raw","PM 2.5 number concentration, 24-hour rolling mean status","PM 2.5 number concentration, 24-hour rolling mean value","Relative humidity ambient, 1-hour mean raw","Relative humidity ambient, 1-hour mean status","Relative humidity ambient, 1-hour mean value","Relative humidity internal, 1-hour mean raw","Relative humidity internal, 1-hour mean status","Relative humidity internal, 1-hour mean value","Temperature ambient, 1-hour mean raw","Temperature ambient, 1-hour mean status","Temperature ambient, 1-hour mean value","Temperature internal, 1-hour mean raw","Temperature internal, 1-hour mean status","Temperature internal, 1-hour mean value","Wind direction, 1-hour mean raw","Wind direction, 1-hour mean status","Wind direction, 1-hour mean value","Wind speed, 1-hour mean raw","Wind speed, 1-hour mean status","Wind speed, 1-hour mean value"
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T01:00:00.000Z,2023-11-01T02:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,16.12,calibration-unknown,,16,calibration-unknown,,38.09,calibration-unknown,,16.19,sensor-ready,16.19,26.01,sensor-ready,26.01,9.00,calibration-unknown,,15.33,sensor-ready,15.33,14.46,calibrated-ready,7.96,14,calibrated-ready,8,31.18,calibrated-ready,10.74,16.13,calibrated-ready,9.20,59,calibrated-ready,38,16.08,sensor-ready,16.08,25.77,sensor-ready,25.77,,,,37.41,sensor-ready,37.41,,,,19.96,sensor-ready,19.96,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T02:00:00.000Z,2023-11-01T03:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,21.93,calibration-unknown,,22,calibration-unknown,,38.25,calibration-unknown,,18.99,sensor-ready,18.99,26.20,sensor-ready,26.20,11.84,calibration-unknown,,18.05,sensor-ready,18.05,19.14,calibrated-ready,8.20,19,calibrated-ready,8,31.32,calibrated-ready,10.78,17.63,calibrated-ready,8.70,63,calibrated-ready,36,18.85,sensor-ready,18.85,25.96,sensor-ready,25.96,,,,45.80,sensor-ready,45.80,,,,15.38,sensor-ready,15.38,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T03:00:00.000Z,2023-11-01T04:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,23.54,calibration-unknown,,24,calibration-unknown,,38.53,calibration-unknown,,18.82,sensor-ready,18.82,26.46,sensor-ready,26.46,12.51,calibration-unknown,,17.78,sensor-ready,17.78,20.97,calibrated-ready,7.60,21,calibrated-ready,8,31.59,calibrated-ready,10.84,19.30,calibrated-ready,8.15,66,calibrated-ready,34,18.69,sensor-ready,18.69,26.21,sensor-ready,26.21,,,,49.78,sensor-ready,49.78,,,,12.92,sensor-ready,12.92,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T04:00:00.000Z,2023-11-01T05:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,27.12,calibration-unknown,,27,calibration-unknown,,38.63,calibration-unknown,,19.66,sensor-ready,19.66,26.59,sensor-ready,26.59,14.39,calibration-unknown,,18.53,sensor-ready,18.53,23.81,calibrated-ready,7.27,24,calibrated-ready,7,31.71,calibrated-ready,10.85,21.55,calibrated-ready,7.71,71,calibrated-ready,32,19.49,sensor-ready,19.49,26.35,sensor-ready,26.35,,,,55.80,sensor-ready,55.80,,,,10.86,sensor-ready,10.86,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T05:00:00.000Z,2023-11-01T06:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,30.88,calibration-unknown,,31,calibration-unknown,,38.66,calibration-unknown,,19.36,sensor-ready,19.36,26.66,sensor-ready,26.66,14.47,calibration-unknown,,18.18,sensor-ready,18.18,24.77,calibrated-ready,7.81,25,calibrated-ready,8,31.71,calibrated-ready,10.87,23.16,calibrated-ready,7.76,74,calibrated-ready,32,19.19,sensor-ready,19.19,26.42,sensor-ready,26.42,,,,59.38,sensor-ready,59.38,,,,9.33,sensor-ready,9.33,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T06:00:00.000Z,2023-11-01T07:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,31.01,calibration-unknown,,31,calibration-unknown,,38.47,calibration-unknown,,19.20,sensor-ready,19.20,26.60,sensor-ready,26.60,14.83,calibration-unknown,,17.98,sensor-ready,17.98,25.90,calibrated-ready,7.24,26,calibrated-ready,7,31.56,calibrated-ready,10.84,24.53,calibrated-ready,7.49,77,calibrated-ready,31,19.01,sensor-ready,19.01,26.36,sensor-ready,26.36,,,,61.26,sensor-ready,61.26,,,,7.84,sensor-ready,7.84,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T07:00:00.000Z,2023-11-01T08:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,36.55,calibration-unknown,,37,calibration-unknown,,38.69,calibration-unknown,,21.99,sensor-ready,21.99,26.75,sensor-ready,26.75,17.79,calibration-unknown,,20.61,sensor-ready,20.61,30.87,calibrated-ready,7.38,31,calibrated-ready,7,31.77,calibrated-ready,10.86,27.70,calibrated-ready,7.44,84,calibrated-ready,31,21.79,sensor-ready,21.79,26.51,sensor-ready,26.51,,,,67.09,sensor-ready,67.09,,,,6.80,sensor-ready,6.80,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T08:00:00.000Z,2023-11-01T09:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,34.87,calibration-unknown,,35,calibration-unknown,,38.74,calibration-unknown,,20.88,sensor-ready,20.88,26.87,sensor-ready,26.87,17.49,calibration-unknown,,19.66,sensor-ready,19.66,29.09,calibrated-ready,6.82,29,calibrated-ready,7,31.81,calibrated-ready,10.87,28.39,calibrated-ready,7.13,85,calibrated-ready,30,20.71,sensor-ready,20.71,26.63,sensor-ready,26.63,,,,66.33,sensor-ready,66.33,,,,5.58,sensor-ready,5.58,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T09:00:00.000Z,2023-11-01T10:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,40.24,calibration-unknown,,40,calibration-unknown,,38.91,calibration-unknown,,23.58,sensor-ready,23.58,27.07,sensor-ready,27.07,20.50,calibration-unknown,,22.22,sensor-ready,22.22,33.41,calibrated-ready,7.11,33,calibrated-ready,7,31.98,calibrated-ready,10.88,30.90,calibrated-ready,7.21,91,calibrated-ready,30,23.40,sensor-ready,23.40,26.83,sensor-ready,26.83,,,,69.64,sensor-ready,69.64,,,,5.21,sensor-ready,5.21,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T10:00:00.000Z,2023-11-01T11:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,47.56,calibration-unknown,,48,calibration-unknown,,39.21,calibration-unknown,,25.51,sensor-ready,25.51,27.23,sensor-ready,27.23,23.20,calibration-unknown,,23.91,sensor-ready,23.91,39.86,calibrated-ready,7.50,40,calibrated-ready,8,32.22,calibrated-ready,10.92,35.38,calibrated-ready,7.33,100,calibrated-ready,31,25.26,sensor-ready,25.26,26.99,sensor-ready,26.99,,,,71.21,sensor-ready,71.21,,,,4.19,sensor-ready,4.19,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T11:00:00.000Z,2023-11-01T12:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,44.27,calibration-unknown,,44,calibration-unknown,,39.26,calibration-unknown,,23.64,sensor-ready,23.64,27.33,sensor-ready,27.33,21.39,calibration-unknown,,22.14,sensor-ready,22.14,38.42,calibrated-ready,6.61,38,calibrated-ready,7,32.32,calibrated-ready,10.91,36.90,calibrated-ready,7.18,104,calibrated-ready,30,23.41,sensor-ready,23.41,27.09,sensor-ready,27.09,,,,73.36,sensor-ready,73.36,,,,3.31,sensor-ready,3.31,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T12:00:00.000Z,2023-11-01T13:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,53.61,calibration-unknown,,54,calibration-unknown,,39.49,calibration-unknown,,25.41,sensor-ready,25.41,27.46,sensor-ready,27.46,23.41,calibration-unknown,,23.72,sensor-ready,23.72,42.85,calibrated-ready,8.38,43,calibrated-ready,8,32.51,calibrated-ready,10.93,39.88,calibrated-ready,7.45,112,calibrated-ready,31,25.11,sensor-ready,25.11,27.22,sensor-ready,27.22,,,,74.95,sensor-ready,74.95,,,,2.92,sensor-ready,2.92,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T13:00:00.000Z,2023-11-01T14:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,61.29,calibration-unknown,,61,calibration-unknown,,39.92,calibration-unknown,,29.73,sensor-ready,29.73,27.70,sensor-ready,27.70,27.26,calibration-unknown,,27.70,sensor-ready,27.70,49.99,calibrated-ready,9.32,50,calibrated-ready,9,32.85,calibrated-ready,11.01,44.94,calibrated-ready,8.02,124,calibrated-ready,33,29.38,sensor-ready,29.38,27.46,sensor-ready,27.46,,,,76.86,sensor-ready,76.86,,,,2.96,sensor-ready,2.96,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T14:00:00.000Z,2023-11-01T15:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,68.92,calibration-unknown,,69,calibration-unknown,,40.86,calibration-unknown,,32.48,sensor-ready,32.48,28.13,sensor-ready,28.13,30.07,calibration-unknown,,30.26,sensor-ready,30.26,53.97,calibrated-ready,11.04,54,calibrated-ready,11,33.48,calibrated-ready,11.19,49.46,calibrated-ready,9.38,135,calibrated-ready,39,32.04,sensor-ready,32.04,27.88,sensor-ready,27.88,,,,75.11,sensor-ready,75.11,,,,3.20,sensor-ready,3.20,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T15:00:00.000Z,2023-11-01T16:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,65.06,calibration-unknown,,65,calibration-unknown,,41.52,calibration-unknown,,31.88,sensor-ready,31.88,28.48,sensor-ready,28.48,28.56,calibration-unknown,,29.77,sensor-ready,29.77,50.38,calibrated-ready,11.30,50,calibrated-ready,11,33.94,calibrated-ready,11.32,49.92,calibrated-ready,10.21,137,calibrated-ready,43,31.51,sensor-ready,31.51,28.22,sensor-ready,28.22,,,,69.33,sensor-ready,69.33,,,,4.88,sensor-ready,4.88,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T16:00:00.000Z,2023-11-01T17:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,69.72,calibration-unknown,,70,calibration-unknown,,41.59,calibration-unknown,,45.41,sensor-ready,45.41,28.69,sensor-ready,28.69,32.84,calibration-unknown,,42.66,sensor-ready,42.66,53.85,calibrated-ready,17.45,54,calibrated-ready,17,34.01,calibrated-ready,11.39,51.89,calibrated-ready,13.99,141,calibrated-ready,55,45.01,sensor-ready,45.01,28.43,sensor-ready,28.43,,,,60.25,sensor-ready,60.25,,,,10.75,sensor-ready,10.75,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T17:00:00.000Z,2023-11-01T18:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,71.79,calibration-unknown,,72,calibration-unknown,,41.75,calibration-unknown,,60.24,sensor-ready,60.24,29.00,sensor-ready,29.00,34.71,calibration-unknown,,56.52,sensor-ready,56.52,56.21,calibrated-ready,25.34,56,calibrated-ready,25,34.14,calibrated-ready,11.55,54.05,calibrated-ready,19.67,147,calibrated-ready,67,59.71,sensor-ready,59.71,28.74,sensor-ready,28.74,,,,50.78,sensor-ready,50.78,,,,15.35,sensor-ready,15.35,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T18:00:00.000Z,2023-11-01T19:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,64.30,calibration-unknown,,64,calibration-unknown,,41.90,calibration-unknown,,58.71,sensor-ready,58.71,29.34,sensor-ready,29.34,31.06,calibration-unknown,,55.16,sensor-ready,55.16,50.17,calibrated-ready,25.92,50,calibrated-ready,26,34.29,calibrated-ready,11.69,52.10,calibrated-ready,22.80,142,calibrated-ready,74,58.21,sensor-ready,58.21,29.08,sensor-ready,29.08,,,,43.11,sensor-ready,43.11,,,,18.97,sensor-ready,18.97,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T19:00:00.000Z,2023-11-01T20:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,49.31,calibration-unknown,,49,calibration-unknown,,41.65,calibration-unknown,,46.91,sensor-ready,46.91,29.07,sensor-ready,29.07,24.83,calibration-unknown,,44.18,sensor-ready,44.18,40.05,calibrated-ready,20.90,40,calibrated-ready,21,34.12,calibrated-ready,11.57,46.29,calibrated-ready,21.85,128,calibrated-ready,72,46.53,sensor-ready,46.53,28.81,sensor-ready,28.81,,,,34.08,sensor-ready,34.08,,,,22.50,sensor-ready,22.50,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T20:00:00.000Z,2023-11-01T21:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,30.29,calibration-unknown,,30,calibration-unknown,,40.90,calibration-unknown,,30.11,sensor-ready,30.11,28.31,sensor-ready,28.31,16.85,calibration-unknown,,28.35,sensor-ready,28.35,27.41,calibrated-ready,13.07,27,calibrated-ready,13,33.63,calibrated-ready,11.22,36.74,calibrated-ready,17.46,104,calibrated-ready,62,29.90,sensor-ready,29.90,28.05,sensor-ready,28.05,,,,30.58,sensor-ready,30.58,,,,24.55,sensor-ready,24.55,,,,,,
AHW6YXKX,AHW6YXKX,CLARITY_NODE,hour,2023-11-01T21:00:00.000Z,2023-11-01T22:00:00.000Z,37.91990500,-121.20699500,,,,,,,,,,,,,,,,,,,21.14,calibration-unknown,,21,calibration-unknown,,40.17,calibration-unknown,,22.04,sensor-ready,22.04,27.79,sensor-ready,27.79,11.54,calibration-unknown,,20.87,sensor-ready,20.87,18.83,calibrated-ready,10.74,19,calibrated-ready,11,33.06,calibrated-ready,11.00,27.79,calibrated-ready,14.10,84,calibrated-ready,55,21.90,sensor-ready,21.90,27.54,sensor-ready,27.54,,,,28.37,sensor-ready,28.37,,,,25.32,sensor-ready,25.32,,,,,,
