nodeId,Source Id,Source Type,Output Frequency,Start of Period,End of Period,Location Latitude [deg],Location Longitude [deg],"Atmospheric pressure, 1-hour mean raw","Atmospheric pressure, 1-hour mean status","Atmospheric pressure, 1-hour mean value","NO2 concentration, 1-hour mean raw","NO2 concentration, 1-hour mean status","NO2 concentration, 1-hour mean value","NO2 concentration, 1-hour mean, UsEpaAqi raw","NO2 concentration, 1-hour mean, UsEpaAqi status","NO2 concentration, 1-hour mean, UsEpaAqi value","NO2 concentration, 1-hour mean, WaDwerAqi raw","NO2 concentration, 1-hour mean, WaDwerAqi status","NO2 concentration, 1-hour mean, WaDwerAqi value","Ozone, 1-hour mean raw","Ozone, 1-hour mean status","Ozone, 1-hour mean value","Ozone, 1-hour mean, WaDwerAqi raw","Ozone, 1-hour mean, WaDwerAqi status","Ozone, 1-hour mean, WaDwerAqi value","PM 10 mass concentration, 1-hour mean raw","PM 10 mass concentration, 1-hour mean status","PM 10 mass concentration, 1-hour mean value","PM 10 mass concentration, 1-hour mean, WaDwerAqi raw","PM 10 mass concentration, 1-hour mean, WaDwerAqi status","PM 10 mass concentration, 1-hour mean, WaDwerAqi value","PM 10 mass concentration, 24-hour rolling mean raw","PM 10 mass concentration, 24-hour rolling mean status","PM 10 mass concentration, 24-hour rolling mean value","PM 10 number concentration, 1-hour mean raw","PM 10 number concentration, 1-hour mean status","PM 10 number concentration, 1-hour mean value","PM 10 number concentration, 24-hour rolling mean raw","PM 10 number concentration, 24-hour rolling mean status","PM 10 number concentration, 24-hour rolling mean value","PM 1 mass concentration, 1-hour mean raw","PM 1 mass concentration, 1-hour mean status","PM 1 mass concentration, 1-hour mean value","PM 1 number concentration, 1-hour mean raw","PM 1 number concentration, 1-hour mean status","PM 1 number concentration, 1-hour mean value","PM 2.5 mass concentration, 1-hour mean raw","PM 2.5 mass concentration, 1-hour mean status","PM 2.5 mass concentration, 1-hour mean value","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi raw","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi status","PM 2.5 mass concentration, 1-hour mean, WaDwerAqi value","PM 2.5 mass concentration, 24-hour rolling mean raw","PM 2.5 mass concentration, 24-hour rolling mean status","PM 2.5 mass concentration, 24-hour rolling mean value","PM 2.5 mass concentration, Nowcast raw","PM 2.5 mass concentration, Nowcast status","PM 2.5 mass concentration, Nowcast value","PM 2.5 mass concentration, Nowcast, UsEpaAqi raw","PM 2.5 mass concentration, Nowcast, UsEpaAqi status","PM 2.5 mass concentration, Nowcast, UsEpaAqi value","PM 2.5 number concentration, 1-hour mean raw","PM 2.5 number concentration, 1-hour mean status","PM 2.5 number concentration, 1-hour mean value","PM 2.5 number concentration, 24-hour rolling mean raw","PM 2.5 number concentration, 24-hour rolling mean status","PM 2.5 number concentration, 24-hour rolling mean value","Relative humidity ambient, 1-hour mean raw","Relative humidity ambient, 1-hour mean status","Relative humidity ambient, 1-hour mean value","Relative humidity internal, 1-hour mean raw","Relative humidity internal, 1-hour mean status","Relative humidity internal, 1-hour mean value","Temperature ambient, 1-hour mean raw","Temperature ambient, 1-hour mean status","Temperature ambient, 1-hour mean value","Temperature internal, 1-hour mean raw","Temperature internal, 1-hour mean status","Temperature internal, 1-hour mean value","Wind direction, 1-hour mean raw","Wind direction, 1-hour mean status","Wind direction, 1-hour mean value","Wind speed, 1-hour mean raw","Wind speed, 1-hour mean status","Wind speed, 1-hour mean value"
AKMKX7CN,AKMKX7CN,CLARITY_NODE,hour,2023-11-01T01:00:00.000Z,2023-11-01T02:00:00.000Z,37.73143750,-122.37466440,,,,,,,,,,,,,,,,,,,18.00,calibration-unknown,,18,calibration-unknown,,19.86,calibration-unknown,,17.48,sensor-ready,17.48,16.91,sensor-ready,16.91,9.45,calibration-unknown,,16.54,sensor-ready,16.54,16.63,calibrated-ready,8.56,17,calibrated-ready,9,17.78,calibrated-ready,7.59,15.22,calibrated-ready,8.72,58,calibrated-ready,36,17.33,sensor-ready,17.33,16.75,sensor-ready,16.75,,,,36.74,sensor-ready,36.74,,,,20.12,sensor-ready,20.12,,,,,,
AKMKX7CN,AKMKX7CN,CLARITY_NODE,hour,2023-11-01T02:00:00.000Z,2023-11-01T03:00:00.000Z,37.73143750,-122.37466440,,,,,,,,,,,,,,,,,,,19.81,calibration-unknown,,20,calibration-unknown,,20.17,calibration-unknown,,17.11,sensor-ready,17.11,17.12,sensor-ready,17.12,10.25,calibration-unknown,,16.23,sensor-ready,16.23,16.90,calibrated-ready,8.24,17,calibrated-ready,8,18.02,calibrated-ready,7.66,16.06,calibrated-ready,8.49,59,calibrated-ready,35,16.97,sensor-ready,16.97,16.97,sensor-ready,16.97,,,,40.36,sensor-ready,40.36,,,,17.89,sensor-ready,17.89,,,,,,
AKMKX7CN,AKMKX7CN,CLARITY_NODE,hour,2023-11-01T03:00:00.000Z,2023-11-01T04:00:00.000Z,37.73143750,-122.37466440,,,,,,,,,,,,,,,,,,,19.34,calibration-unknown,,19,calibration-unknown,,20.38,calibration-unknown,,17.95,sensor-ready,17.95,17.34,sensor-ready,17.34,10.67,calibration-unknown,,17.05,sensor-ready,17.05,17.74,calibrated-ready,8.07,18,calibrated-ready,8,18.23,calibrated-ready,7.71,16.90,calibrated-ready,8.37,61,calibrated-ready,35,17.80,sensor-ready,17.80,17.18,sensor-ready,17.18,,,,41.33,sensor-ready,41.33,,,,17.03,sensor-ready,17.03,,,,,,
AKMKX7CN,AKMKX7CN,CLARITY_NODE,hour,2023-11-01T04:00:00.000Z,2023-11-01T05:00:00.000Z,37.73143750,-122.37466440,,,,,,,,,,,,,,,,,,,22.59,calibration-unknown,,23,calibration-unknown,,20.67,calibration-unknown,,19.01,sensor-ready,19.01,17.59,sensor-ready,17.59,11.44,calibration-unknown,,17.98,sensor-ready,17.98,20.43,calibrated-ready,8.67,20,calibrated-ready,9,18.52,calibrated-ready,7.77,18.66,calibrated-ready,8.52,65,calibrated-ready,36,18.82,sensor-ready,18.82,17.43,sensor-ready,17.43,,,,42.03,sensor-ready,42.03,,,,16.31,sensor-ready,16.31,,,,,,
AKMKX7CN,AKMKX7CN,CLARITY_NODE,hour,2023-11-01T05:00:00.000Z,2023-11-01T06:00:00.000Z,37.73143750,-122.37466440,,,,,,,,,,,,,,,,,,,21.03,calibration-unknown,,21,calibration-unknown,,20.82,calibration-unknown,,17.61,sensor-ready,17.61,17.75,sensor-ready,17.75,11.10,calibration-unknown,,16.66,sensor-ready,16.66,18.65,calibrated-ready,7.82,19,calibrated-ready,8,18.65,calibrated-ready,7.79,18.66,calibrated-ready,8.24,65,calibrated-ready,34,17.46,sensor-ready,17.46,17.59,sensor-ready,17.59,,,,44.25,sensor-ready,44.25,,,,15.51,sensor-ready,15.51,,,,,,
AKMKX7CN,AKMKX7CN,CLARITY_NODE,hour,2023-11-01T06:00:00.000Z,2023-11-01T07:00:00.000Z,37.73143750,-122.37466440,,,,,,,,,,,,,,,,,,,22.29,calibration-unknown,,22,calibration-unknown,,21.03,calibration-unknown,,17.87,sensor-ready,17.87,17.89,sensor-ready,17.89,11.21,calibration-unknown,,16.86,sensor-ready,16.86,20.15,calibrated-ready,7.63,20,calibrated-ready,8,18.84,calibrated-ready,7.82,19.41,calibrated-ready,8.06,66,calibrated-ready,34,17.67,sensor-ready,17.67,17.73,sensor-ready,17.73,,,,52.71,sensor-ready,52.71,,,,14.74,sensor-ready,14.74,,,,,,
AKMKX7CN,AKMKX7CN,CLARITY_NODE,hour,2023-11-01T07:00:00.000Z,2023-11-01T08:00:00.000Z,37.73143750,-122.37466440,,,,,,,,,,,,,,,,,,,21.73,calibration-unknown,,22,calibration-unknown,,21.20,calibration-unknown,,17.97,sensor-ready,17.97,18.03,sensor-ready,18.03,11.33,calibration-unknown,,17.00,sensor-ready,17.00,20.03,calibrated-ready,7.01,20,calibrated-ready,7,19.00,calibrated-ready,7.87,19.45,calibrated-ready,7.68,66,calibrated-ready,32,17.82,sensor-ready,17.82,17.86,sensor-ready,17.86,,,,59.24,sensor-ready,59.24,,,,14.01,sensor-ready,14.01,,,,,,
AKMKX7CN,AKMKX7CN,CLARITY_NODE,hour,2023-11-01T08:00:00.000Z,2023-11-01T09:00:00.000Z,37.73143750,-122.37466440,,,,,,,,,,,,,,,,,,,27.82,calibration-unknown,,28,calibration-unknown,,21.39,calibration-unknown,,22.20,sensor-ready,22.20,18.24,sensor-ready,18.24,15.24,calibration-unknown,,20.95,sensor-ready,20.95,25.38,calibrated-ready,7.39,25,calibrated-ready,7,19.20,calibrated-ready,7.89,22.55,calibrated-ready,7.76,73,calibrated-ready,32,22.03,sensor-ready,22.03,18.08,sensor-ready,18.08,,,,67.20,sensor-ready,67.20,,,,13.36,sensor-ready,13.36,,,,,,
AKMKX7CN,AKMKX7CN,CLARITY_NODE,hour,2023-11-01T09:00:00.000Z,2023-11-01T10:00:00.000Z,37.73143750,-122.37466440,,,,,,,,,,,,,,,,,,,34.85,calibration-unknown,,35,calibration-unknown,,22.09,calibration-unknown,,25.06,sensor-ready,25.06,18.73,sensor-ready,18.73,17.64,calibration-unknown,,23.53,sensor-ready,23.53,31.73,calibrated-ready,8.33,32,calibrated-ready,8,19.87,calibrated-ready,8.00,27.14,calibrated-ready,7.90,83,calibrated-ready,33,24.82,sensor-ready,24.82,18.56,sensor-ready,18.56,,,,69.83,sensor-ready,69.83,,,,12.55,sensor-ready,12.55,,,,,,
AKMKX7CN,AKMKX7CN,CLARITY_NODE,hour,2023-11-01T10:00:00.000Z,2023-11-01T11:00:00.000Z,37.73143750,-122.37466440,,,,,,,,,,,,,,,,,,,31.91,calibration-unknown,,32,calibration-unknown,,22.61,calibration-unknown,,22.73,sensor-ready,22.73,19.06,sensor-ready,19.06,15.82,calibration-unknown,,21.35,sensor-ready,21.35,28.60,calibrated-ready,7.79,29,calibrated-ready,8,20.34,calibrated-ready,8.08,27.87,calibrated-ready,7.87,84,calibrated-ready,33,22.50,sensor-ready,22.50,18.89,sensor-ready,18.89,,,,71.39,sensor-ready,71.39,,,,12.15,sensor-ready,12.15,,,,,,
